cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Dinoponera quadriceps,Antenna length ratio,1.75,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Antenna length ratio,1.709,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Antenna length ratio,1.743,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Antenna length ratio,1.726,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Antenna length ratio,1.761,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Antenna length ratio,1.801,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Antenna length ratio,1.75,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Antenna length ratio,1.766,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Antenna length ratio,1.727,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Antenna length ratio,1.722,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Antenna length ratio,1.739,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Antenna length ratio,1.727,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Antenna length ratio,1.799,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Antenna length ratio,1.766,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Eye length ratio,0.163,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Eye length ratio,0.169,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Eye length ratio,0.176,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Eye length ratio,0.173,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Eye length ratio,0.166,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Eye length ratio,0.166,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Eye length ratio,0.158,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Eye length ratio,0.162,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Eye length ratio,0.169,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Eye length ratio,0.173,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Eye length ratio,0.164,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Eye length ratio,0.165,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Eye length ratio,0.161,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Eye length ratio,0.159,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Eye length ratio,0.163,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Eye length ratio,0.156,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Eye length ratio,0.151,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Eye length ratio,0.154,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Eye length ratio,0.146,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Eye length ratio,0.155,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Eye length ratio,0.162,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Eye length ratio,0.156,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Eye length ratio,0.155,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Eye length ratio,0.154,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Dorymyrex goeldii,Leg length ratio,1.893,30.9,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dorymyrex goeldii,Leg length ratio,1.891,30.9,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dorymyrex goeldii,Leg length ratio,1.923,30.9,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dorymyrex goeldii,Leg length ratio,1.831,30.9,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dorymyrex goeldii,Leg length ratio,1.92,30.9,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dorymyrex goeldii,Leg length ratio,1.889,30.9,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dorymyrex goeldii,Leg length ratio,1.854,30.9,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dorymyrex goeldii,Leg length ratio,1.863,30.9,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dorymyrex goeldii,Leg length ratio,1.872,30.9,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dorymyrex goeldii,Leg length ratio,1.851,30.9,,,moderate,predicted a different value for this trait
"species present, trait missing",Dorymyrex goeldii,Eye position ratio,0.275,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Eye position ratio,0.273,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Eye position ratio,0.288,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Eye position ratio,0.274,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Eye position ratio,0.271,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Eye position ratio,0.272,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Eye position ratio,0.269,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Eye position ratio,0.279,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Eye position ratio,0.275,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Eye position ratio,0.296,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Dinoponera quadriceps,Leg length ratio,1.739,36.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dinoponera quadriceps,Leg length ratio,1.742,36.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dinoponera quadriceps,Leg length ratio,1.758,36.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dinoponera quadriceps,Leg length ratio,1.745,36.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dinoponera quadriceps,Leg length ratio,1.786,36.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dinoponera quadriceps,Leg length ratio,1.77,36.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dinoponera quadriceps,Leg length ratio,1.753,36.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dinoponera quadriceps,Leg length ratio,1.746,36.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dinoponera quadriceps,Leg length ratio,1.746,36.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dinoponera quadriceps,Leg length ratio,1.72,36.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dinoponera quadriceps,Leg length ratio,1.739,36.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dinoponera quadriceps,Leg length ratio,1.741,36.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dinoponera quadriceps,Leg length ratio,1.753,36.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dinoponera quadriceps,Leg length ratio,1.709,36.8,,,moderate,predicted a different value for this trait
"species present, trait missing",Dorymyrex goeldii,Mandible length ratio,0.352,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Mandible length ratio,0.355,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Mandible length ratio,0.373,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Mandible length ratio,0.363,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Mandible length ratio,0.359,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Mandible length ratio,0.361,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Mandible length ratio,0.36,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Mandible length ratio,0.361,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Mandible length ratio,0.365,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorymyrex goeldii,Mandible length ratio,0.403,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Eye length ratio,0.171,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Eye length ratio,0.147,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Eye length ratio,0.137,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Eye length ratio,0.14,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Eye length ratio,0.154,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Eye length ratio,0.143,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Eye length ratio,0.158,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Eye length ratio,0.147,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Eye length ratio,0.151,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Eye length ratio,0.16,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Eye length ratio,0.151,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Eye length ratio,0.157,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Eye length ratio,0.147,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Clypeus length ratio,0.164,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Clypeus length ratio,0.224,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Clypeus length ratio,0.227,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Clypeus length ratio,0.222,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Clypeus length ratio,0.198,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Clypeus length ratio,0.246,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Clypeus length ratio,0.198,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Clypeus length ratio,0.165,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Clypeus length ratio,0.212,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Clypeus length ratio,0.207,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Clypeus length ratio,0.233,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Clypeus length ratio,0.192,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectatomma muticum,Clypeus length ratio,0.221,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Mandible length ratio,0.541,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Mandible length ratio,0.562,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Mandible length ratio,0.562,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Mandible length ratio,0.573,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Mandible length ratio,0.572,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Mandible length ratio,0.563,,,,moderate,the trait was not extracted for this species
