cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
species not in prediction,Pteronarcys,Body Size,19401.17 ± 9139.04,,,0.00,severe,species not extracted at all
species not in prediction,Pteronarcys,Body Size,9563.65,,,0.00,severe,species not extracted at all
species not in prediction,Pteronarcys,Body Size,38696.86,,,0.00,severe,species not extracted at all
species not in prediction,Haploperla,Body Size,3602.36 ± 1200.53,,,0.00,severe,species not extracted at all
species not in prediction,Haploperla,Body Size,246.07,,,0.00,severe,species not extracted at all
species not in prediction,Haploperla,Body Size,6924.64,,,0.00,severe,species not extracted at all
species not in prediction,Micrasema,Body Size,1909.21 ± 590.94,,,0.00,severe,species not extracted at all
species not in prediction,Micrasema,Body Size,1110.2,,,0.00,severe,species not extracted at all
species not in prediction,Micrasema,Body Size,2693.95,,,0.00,severe,species not extracted at all
species not in prediction,Setodes,Body Size,2198.31 ± 784.23,,,0.00,severe,species not extracted at all
species not in prediction,Setodes,Body Size,1589.7,,,0.00,severe,species not extracted at all
species not in prediction,Setodes,Body Size,3716.23,,,0.00,severe,species not extracted at all
species not in prediction,Hydropsyche,Body Size,6478.03 ± 3246.19,,,0.00,severe,species not extracted at all
species not in prediction,Hydropsyche,Body Size,1068.5,,,0.00,severe,species not extracted at all
species not in prediction,Hydropsyche,Body Size,15697.5,,,0.00,severe,species not extracted at all
species not in prediction,Serratella,Body Size,2065.13 ± 571.41,,,0.00,severe,species not extracted at all
species not in prediction,Serratella,Body Size,913.34,,,0.00,severe,species not extracted at all
species not in prediction,Serratella,Body Size,3448.61,,,0.00,severe,species not extracted at all
species not in prediction,Agnetina,Body Size,3876.7 ± 1808.22,,,0.00,severe,species not extracted at all
species not in prediction,Agnetina,Body Size,420.32,,,0.00,severe,species not extracted at all
species not in prediction,Agnetina,Body Size,9254.99,,,0.00,severe,species not extracted at all
species not in prediction,Glossosomatidae,Body Size,4386.23 ± 2026.35,,,0.00,severe,species not extracted at all
species not in prediction,Glossosomatidae,Body Size,1723.03,,,0.00,severe,species not extracted at all
