basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
,Vespula maculifrons,Caste,,Queen,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,Patriline,,1,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,M,,220.8099999486709,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,body length,,19128.329996459783,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,forewing length,,12988.289996408577,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,reslin joint area length,,1206.1000004954694,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,SC1,,2852.769999802341,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,head width,,4387.589998314072,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,IDx,,3871.1600011135174,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,IDm,,,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,antenna length,,5007.0499984996,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,pronotum width,,4839.829999385947,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,gaster segment length,,2597.489999713389,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,femur length,,,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,tibia length,,2865.5500005692493,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,tarsus length,,2759.6600007807538,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,Caste,,Queen,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,Patriline,,1,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,M,,228.310000093296,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,body length,,18166.70999452307,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,forewing length,,12549.959996186637,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,reslin joint area length,,1172.2999999088156,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,SC1,,2751.579999650233,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,head width,,4238.809998066466,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,IDx,,3750.909999278584,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,IDm,,2034.9399991604885,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,antenna length,,5194.469999196891,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,pronotum width,,4660.420000868219,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,gaster segment length,,2837.7300006429805,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,femur length,,2644.6800000354374,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,tibia length,,2115.509999653396,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,tarsus length,,2742.850000574621,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,Caste,,Queen,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,Patriline,,1,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,M,,235.46000008239903,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,body length,,18409.25000610584,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,forewing length,,12437.670003542933,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,reslin joint area length,,1313.0499995944078,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,SC1,,2792.109998919528,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,head width,,4367.530000424676,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,IDx,,3829.680000879747,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,IDm,,2083.539999703423,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,antenna length,,4774.880001389532,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,pronotum width,,4731.7899980349375,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,gaster segment length,,2824.3599993166517,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,femur length,,2863.9299987368363,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,tibia length,,2125.989999528096,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,tarsus length,,2693.5499995797613,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,Caste,,Queen,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,Patriline,,1,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,M,,233.0599999661789,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,body length,,18258.129995140058,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,forewing length,,12215.67000267359,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,reslin joint area length,,1269.2000003692856,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,SC1,,2851.8699987234822,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,head width,,4300.449998413594,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,IDx,,3835.8800002762137,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,IDm,,2156.519999284184,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,antenna length,,5083.2800024952285,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,pronotum width,,4601.179998526515,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,gaster segment length,,2812.2899998360017,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,femur length,,2824.5599993291216,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,tibia length,,2043.9999993385713,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,tarsus length,,2592.8299993172263,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,Caste,,Queen,,mode,,female,adult,,,,,,,,,,,
,Vespula maculifrons,Patriline,,1,,mode,,female,adult,,,,,,,,,,,
