basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Alastor atropos,measurementType,Trap-nesting,Intertegular Span,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Alastor atropos,sex,Trap-nesting,female,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Alastor atropos,lifeStage,Trap-nesting,adult,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Alastor atropos,caste,Trap-nesting,worker,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Alastor atropos,sampleTreatment,Trap-nesting,Tubes were dissected and their contents (number and identity of hosts and parasitoids) recorded.,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Alastor atropos,measurementType,Trap-nesting,Larval diet,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Alastor atropos,sex,Trap-nesting,both,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Alastor atropos,lifeStage,Trap-nesting,larva,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Alastor atropos,caste,Trap-nesting,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Alastor atropos,sampleTreatment,Trap-nesting,Tubes were dissected and their contents (number and identity of hosts and parasitoids) recorded.,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Alastor atropos,measurementType,Trap-nesting,Locality,,mode,,both,adult,,,,,,"42 ̊11’N, 2 ̊29’E",,,,,
PreservedSpecimen,Alastor atropos,sex,Trap-nesting,both,,mode,,both,adult,,,,,,"42 ̊11’N, 2 ̊29’E",,,,,
PreservedSpecimen,Alastor atropos,lifeStage,Trap-nesting,all,,mode,,both,adult,,,,,,"42 ̊11’N, 2 ̊29’E",,,,,
PreservedSpecimen,Alastor atropos,caste,Trap-nesting,,,mode,,both,adult,,,,,,"42 ̊11’N, 2 ̊29’E",,,,,
HumanObservation,Alastor atropos,sampleTreatment,Trap-nesting,Tubes were dissected and their contents (number and identity of hosts and parasitoids) recorded.,,mode,,both,adult,,,,,,"42 ̊11’N, 2 ̊29’E",,,,,
HumanObservation,Alastor atropos,measurementType,Trap-nesting,Elevation,,mode,,both,adult,,,,,,"42 ̊11’N, 2 ̊29’E",,,,,
PreservedSpecimen,Alastor atropos,sex,Trap-nesting,both,,mode,,both,adult,,,,,,"42 ̊11’N, 2 ̊29’E",,,,,
PreservedSpecimen,Alastor atropos,lifeStage,Trap-nesting,all,,mode,,both,adult,,,,,,"42 ̊11’N, 2 ̊29’E",,,,,
PreservedSpecimen,Alastor atropos,caste,Trap-nesting,,,mode,,both,adult,,,,,,"42 ̊11’N, 2 ̊29’E",,,,,
HumanObservation,Alastor atropos,sampleTreatment,Trap-nesting,Tubes were dissected and their contents (number and identity of hosts and parasitoids) recorded.,,mode,,both,adult,,,,,,"42 ̊11’N, 2 ̊29’E",,,,,
HumanObservation,Alastor atropos,measurementType,Trap-nesting,Nest-building material,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Alastor atropos,sex,Trap-nesting,both,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Alastor atropos,lifeStage,Trap-nesting,all,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Alastor atropos,caste,Trap-nesting,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Alastor atropos,sampleTreatment,Trap-nesting,Tubes were dissected and their contents (number and identity of hosts and parasitoids) recorded.,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Alastor atropos,measurementType,Trap-nesting,Voltinism,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Alastor atropos,sex,Trap-nesting,both,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Alastor atropos,lifeStage,Trap-nesting,all,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Alastor atropos,caste,Trap-nesting,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Alastor atropos,sampleTreatment,Trap-nesting,Tubes were dissected and their contents (number and identity of hosts and parasitoids) recorded.,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Alastor atropos,measurementType,Trap-nesting,Wintering stage,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Alastor atropos,sex,Trap-nesting,both,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Alastor atropos,lifeStage,Trap-nesting,all,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Alastor atropos,caste,Trap-nesting,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Alastor atropos,sampleTreatment,Trap-nesting,Tubes were dissected and their contents (number and identity of hosts and parasitoids) recorded.,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Chelostoma campanularum,measurementType,Trap-nesting,Intertegular Span,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chelostoma campanularum,sex,Trap-nesting,female,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chelostoma campanularum,lifeStage,Trap-nesting,adult,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chelostoma campanularum,caste,Trap-nesting,worker,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Chelostoma campanularum,sampleTreatment,Trap-nesting,Tubes were dissected and their contents (number and identity of hosts and parasitoids) recorded.,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Chelostoma campanularum,measurementType,Trap-nesting,Larval diet,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chelostoma campanularum,sex,Trap-nesting,both,,mode,,both,adult,,,,,,,,,,,
