basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
LivingSpecimen,Crematogaster lineolata,Pupal development time (days) 20°C,,42,days,single observation,,both,adult,all,,,,,,,,,,
LivingSpecimen,Crematogaster lineolata,Pupal development time (days) 23°C,,21,days,mean,,both,adult,all,,,,,,,,,,
LivingSpecimen,Crematogaster lineolata,Pupal development time (days) 26°C,,14,days,mean,,both,adult,all,,,,,,,,,,
LivingSpecimen,Crematogaster lineolata,Pupal development time (days) 29°C,,10,days,mean,,both,adult,all,,,,,,,,,,
HumanObservation,Crematogaster lineolata,Activity seasonLength (days)IQR (Julian date range) Activity seasonLength (days)IQR,,51·75179·25–231,days,mode,,both,adult,all,,,,,,,,,,
LivingSpecimen,Temnothorax curvispinosus,Pupal development time (days) 20°C,,32,days,single observation,,both,adult,all,,,,,,,,,,
LivingSpecimen,Temnothorax curvispinosus,Pupal development time (days) 23°C,,21,days,mean,,both,adult,all,,,,,,,,,,
LivingSpecimen,Temnothorax curvispinosus,Pupal development time (days) 26°C,,13,days,mean,,both,adult,all,,,,,,,,,,
LivingSpecimen,Temnothorax curvispinosus,Pupal development time (days) 29°C,,12,days,mean,,both,adult,all,,,,,,,,,,
HumanObservation,Temnothorax curvispinosus,Activity seasonLength (days)IQR (Julian date range) Activity seasonLength (days)IQR,,77·25179·25–256·5,days,mode,,both,adult,all,,,,,,,,,,
LivingSpecimen,Formica subsericea,Pupal development time (days) 20°C,,21,days,single observation,,both,adult,all,,,,,,,,,,
LivingSpecimen,Formica subsericea,Pupal development time (days) 23°C,,16,days,mean,,both,adult,all,,,,,,,,,,
LivingSpecimen,Formica subsericea,Pupal development time (days) 26°C,,11,days,mean,,both,adult,all,,,,,,,,,,
LivingSpecimen,Formica subsericea,Pupal development time (days) 29°C,,10,days,mean,,both,adult,all,,,,,,,,,,
HumanObservation,Formica subsericea,Activity seasonLength (days)IQR (Julian date range) Activity seasonLength (days)IQR,,74127–201,days,mode,,both,adult,all,,,,,,,,,,
LivingSpecimen,Monomorium minimum,Pupal development time (days) 20°C,,40,days,single observation,,both,adult,all,,,,,,,,,,
LivingSpecimen,Monomorium minimum,Pupal development time (days) 23°C,,20,days,mean,,both,adult,all,,,,,,,,,,
LivingSpecimen,Monomorium minimum,Pupal development time (days) 26°C,,11,days,mean,,both,adult,all,,,,,,,,,,
LivingSpecimen,Monomorium minimum,Pupal development time (days) 29°C,,10,days,mean,,both,adult,all,,,,,,,,,,
HumanObservation,Monomorium minimum,Activity seasonLength (days)IQR (Julian date range) Activity seasonLength (days)IQR,,-,days,mode,,both,adult,all,,,,,,,,,,
LivingSpecimen,Temnothorax longispinosus,Pupal development time (days) 20°C,,32,days,single observation,,both,adult,all,,,,,,,,,,
LivingSpecimen,Temnothorax longispinosus,Pupal development time (days) 23°C,,20,days,mean,,both,adult,all,,,,,,,,,,
LivingSpecimen,Temnothorax longispinosus,Pupal development time (days) 26°C,,14,days,mean,,both,adult,all,,,,,,,,,,
LivingSpecimen,Temnothorax longispinosus,Pupal development time (days) 29°C,,12,days,mean,,both,adult,all,,,,,,,,,,
HumanObservation,Temnothorax longispinosus,Activity seasonLength (days)IQR (Julian date range) Activity seasonLength (days)IQR,,-,days,mode,,both,adult,all,,,,,,,,,,
LivingSpecimen,Tetramorium sp. E,Pupal development time (days) 20°C,,35,days,single observation,,both,adult,all,,,,,,,,,,
LivingSpecimen,Tetramorium sp. E,Pupal development time (days) 23°C,,19,days,mean,,both,adult,all,,,,,,,,,,
LivingSpecimen,Tetramorium sp. E,Pupal development time (days) 26°C,,12,days,mean,,both,adult,all,,,,,,,,,,
LivingSpecimen,Tetramorium sp. E,Pupal development time (days) 29°C,,11,days,mean,,both,adult,all,,,,,,,,,,
HumanObservation,Tetramorium sp. E,Activity seasonLength (days)IQR (Julian date range) Activity seasonLength (days)IQR,,-,days,mode,,both,adult,all,,,,,,,,,,
LivingSpecimen,Tapinoma sessile,Pupal development time (days) 20°C,,27,days,single observation,,both,adult,all,,,,,,,,,,
LivingSpecimen,Tapinoma sessile,Pupal development time (days) 23°C,,17,days,mean,,both,adult,all,,,,,,,,,,
LivingSpecimen,Tapinoma sessile,Pupal development time (days) 26°C,,10,days,mean,,both,adult,all,,,,,,,,,,
LivingSpecimen,Tapinoma sessile,Pupal development time (days) 29°C,,9,days,mean,,both,adult,all,,,,,,,,,,
