basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,"Ectatomma edentatum Roger, 1863",Nesting,,Subterraneous nests,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Ectatomma edentatum Roger, 1863",Diet,Classification based on literature and taxonomic keys,Omnivorous,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Ectatomma lugens Emery, 1894",Nesting,,Subterraneous nests,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Ectatomma lugens Emery, 1894",Diet,Classification based on literature and taxonomic keys,Omnivorous,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma tuberculatum,Nesting,,Subterraneous nests,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma tuberculatum,Diet,Classification based on literature and taxonomic keys,Omnivorous,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma sp. 4,Nesting,,X,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma sp. 4,Diet,Classification based on literature and taxonomic keys,X,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Gnamptogeny sacuminata Emery, 1896",Nesting,,Leaf litter nests,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Gnamptogeny sacuminata Emery, 1896",Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Gnamptogeny sannulata Mayr, 1887",Nesting,,Lit/Veg,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Gnamptogeny sannulata Mayr, 1887",Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Gnamptogeny sconcinna,Nesting,,Nests on live vegetation,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Gnamptogeny sconcinna,Diet,Classification based on literature and taxonomic keys,Omnivorous,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Gnamptogeny shaenschi Emery, 1902",Nesting,,Sub/Lit,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Gnamptogeny shaenschi Emery, 1902",Diet,Classification based on literature and taxonomic keys,Detritivorous,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Gnamptogeny shorni Santschi, 1929",Nesting,,Sub/Lit/Veg,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Gnamptogeny shorni Santschi, 1929",Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Gnamptogeny slanei Kempf, 1960",Nesting,,D,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Gnamptogeny slanei Kempf, 1960",Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Gnamptogenys moelleri,Nesting,,Leaf litter nests,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Gnamptogenys moelleri,Diet,Classification based on literature and taxonomic keys,Omnivorous,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Gnamptogenys striatula Mayr, 1883",Nesting,,Sub/Lit,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Gnamptogenys striatula Mayr, 1883",Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Gnamptogenys sulcata,Nesting,,Leaf litter nests,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Gnamptogenys sulcata,Diet,Classification based on literature and taxonomic keys,Omnivorous,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Typhlomyrmex pusillus Emery, 1894",Nesting,,Leaf litter nests,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Typhlomyrmex pusillus Emery, 1894",Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Anochetus diegensis Forel, 1912",Nesting,,Leaf litter nests,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Anochetus diegensis Forel, 1912",Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Anochetus horridus Kempf, 1964",Nesting,,Leaf litter nests,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Anochetus horridus Kempf, 1964",Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Anochetus mayri Emery, 1884",Nesting,,Leaf litter nests,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Anochetus mayri Emery, 1884",Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Anochetus targionii Emery, 1894",Nesting,,Leaf litter nests,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Anochetus targionii Emery, 1894",Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Hypoponera argentina,Nesting,,Leaf litter nests,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Hypoponera argentina,Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Hypoponera distinguenda,Nesting,,Leaf litter nests,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Hypoponera distinguenda,Diet,Classification based on literature and taxonomic keys,Omnivorous,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Hypoponera schmalzi,Nesting,,Leaf litter nests,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Hypoponera schmalzi,Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Hypoponera trigona,Nesting,,Leaf litter nests,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Hypoponera trigona,Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Hypoponera sp. 1,Nesting,,X,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Hypoponera sp. 1,Diet,Classification based on literature and taxonomic keys,X,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Leptogenys famelica Emery, 1896",Nesting,,Sub/Lit,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Leptogenys famelica Emery, 1896",Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Leptogenys gaigei Wheeler, 1923",Nesting,,Sub/Lit,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Leptogenys gaigei Wheeler, 1923",Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Leptogenys guianensis Wheeler, 1923",Nesting,,Sub/Lit,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Leptogenys guianensis Wheeler, 1923",Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Leptogenys langi Wheeler, 1923",Nesting,,Sub/Lit,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Leptogenys langi Wheeler, 1923",Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Mayaponera constricta,Nesting,,Sub/Lit,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Mayaponera constricta,Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Neoponera apicalis,Nesting,,Sub/Lit/Veg,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Neoponera apicalis,Diet,Classification based on literature and taxonomic keys,Omnivorous,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Neoponera commutata,Nesting,,Subterraneous nests,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Neoponera commutata,Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Neoponera laevigata,Nesting,,Sub/Lit,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Neoponera laevigata,Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Neoponera procidua Emery, 1890",Nesting,,D,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Neoponera procidua Emery, 1890",Diet,Classification based on literature and taxonomic keys,U,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Neoponera unidentata,Nesting,,Nests on live vegetation,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Neoponera unidentata,Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Neoponera prox. obscuricornis,Nesting,,Leaf litter nests,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Neoponera prox. obscuricornis,Diet,Classification based on literature and taxonomic keys,Predator,,mode,,both,adult,,,,,,,,,,,
