basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,"Anisocanthon aff. villosus, Deltochilum elongatum, Malagoniella aff. astynanax, Eurysternus caribaeus, Eurysternus nigrovirens, Canthon daguerrei, Canthon histrio, Canthon lituratus, Canthon maldonadoi, Canthon curvodilatatus, Canthon aff. ornatus, Canthon quinquemaculatus, Canthidium viride, Canthidium barbacenicum, Canthidium cuprinum, Canthidium sp.2, Canthidium sp.3, Gromphas inermis, Coprophanaeus bonariensis",Group,,"forms a ball or pear-shaped nest, have mainly diurnal activity and, when nocturnal, present horizontal displacement of dung behavior.",,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Anisocanthon aff. villosus, Deltochilum elongatum, Malagoniella aff. astynanax, Eurysternus caribaeus, Eurysternus nigrovirens, Canthon daguerrei, Canthon histrio, Canthon lituratus, Canthon maldonadoi, Canthon curvodilatatus, Canthon aff. ornatus, Canthon quinquemaculatus, Canthidium viride, Canthidium barbacenicum, Canthidium cuprinum, Canthidium sp.2, Canthidium sp.3, Gromphas inermis, Coprophanaeus bonariensis",Group characteristics,,"Diurnal-mixed activity, make ball/pear-shaped nest, when nocturnal displaces horizontally the resource",,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Coprophanaeus milon, Ontherus appendiculatus, Ontherus digitatus, Ontherus sulcator, Ateuchus carbonarius, Ateuchus sp.1, Genieridium cryptops, Onthophagus aff. hirculus, Trichillidium quadridens, Trichillum externepunctatum, Uroxys aff. corporaali, Dichotomius bos, Dichotomius lycas, Dichotomius nisus, Dichotomius opacipennis, Digitonthophagus sp.",Group,,B,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Coprophanaeus milon, Ontherus appendiculatus, Ontherus digitatus, Ontherus sulcator, Ateuchus carbonarius, Ateuchus sp.1, Genieridium cryptops, Onthophagus aff. hirculus, Trichillidium quadridens, Trichillum externepunctatum, Uroxys aff. corporaali, Dichotomius bos, Dichotomius lycas, Dichotomius nisus, Dichotomius opacipennis, Digitonthophagus sp.",Group characteristics,,"Nocturnal-mixed activity, does not make ball/pear-shaped nest, when making a ball/pear-shaped nest, it does not displace horizontally to the resource",,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anisocanthon aff. villosus,Size,,5.64,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anisocanthon aff. villosus,Wing load,Ratio of wing area and size/length,2.45,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anisocanthon aff. villosus,Anterior Tibiae Area,Direct measurement of the area of the anterior tibia,0.58,mm²,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anisocanthon aff. villosus,Protorax Height,Direct measurement of the prothorax height,1.95,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anisocanthon aff. villosus,Tibial Ratio,Ratio of apical middle tibia width to middle tibia length,0.16,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Anisocanthon aff. villosus,Generalism,"Levin's niche breadth index (Krebs, 1989)",103989.6822,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Anisocanthon aff. villosus,Horizontal Displacement,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Anisocanthon aff. villosus,Nest,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Anisocanthon aff. villosus,Pear/Ball Nest,Binary observation of the presence (1) or absence (0) of ball or pear-shaped nest structures.,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Anisocanthon aff. villosus,Daily activity,"Classification of temporal variation (nocturnal, diurnal, or mixed) based on existing literature.",na,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ateuchus carbonarius,Size,,5.22,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ateuchus carbonarius,Wing load,Ratio of wing area and size/length,3.14,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ateuchus carbonarius,Anterior Tibiae Area,Direct measurement of the area of the anterior tibia,0.45,mm²,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ateuchus carbonarius,Protorax Height,Direct measurement of the prothorax height,2.22,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ateuchus carbonarius,Tibial Ratio,Ratio of apical middle tibia width to middle tibia length,0.49,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Ateuchus carbonarius,Generalism,"Levin's niche breadth index (Krebs, 1989)",6.734109331,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ateuchus carbonarius,Horizontal Displacement,,no,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ateuchus carbonarius,Nest,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ateuchus carbonarius,Pear/Ball Nest,Binary observation of the presence (1) or absence (0) of ball or pear-shaped nest structures.,no,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ateuchus carbonarius,Daily activity,"Classification of temporal variation (nocturnal, diurnal, or mixed) based on existing literature.",nocturnal,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ateuchus sp.1,Size,,4.75,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ateuchus sp.1,Wing load,Ratio of wing area and size/length,3.18,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ateuchus sp.1,Anterior Tibiae Area,Direct measurement of the area of the anterior tibia,0.41,mm²,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ateuchus sp.1,Protorax Height,Direct measurement of the prothorax height,1.75,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ateuchus sp.1,Tibial Ratio,Ratio of apical middle tibia width to middle tibia length,0.46,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Ateuchus sp.1,Generalism,"Levin's niche breadth index (Krebs, 1989)",51.71442891,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ateuchus sp.1,Horizontal Displacement,,no,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ateuchus sp.1,Nest,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ateuchus sp.1,Pear/Ball Nest,Binary observation of the presence (1) or absence (0) of ball or pear-shaped nest structures.,no,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ateuchus sp.1,Daily activity,"Classification of temporal variation (nocturnal, diurnal, or mixed) based on existing literature.",nocturnal,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium aff. viride,Size,,7.01,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium aff. viride,Wing load,Ratio of wing area and size/length,4.06,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium aff. viride,Anterior Tibiae Area,Direct measurement of the area of the anterior tibia,1.09,mm²,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium aff. viride,Protorax Height,Direct measurement of the prothorax height,2.35,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium aff. viride,Tibial Ratio,Ratio of apical middle tibia width to middle tibia length,0.36,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium aff. viride,Generalism,"Levin's niche breadth index (Krebs, 1989)",120.9961299,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium aff. viride,Horizontal Displacement,,no,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium aff. viride,Nest,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium aff. viride,Pear/Ball Nest,Binary observation of the presence (1) or absence (0) of ball or pear-shaped nest structures.,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium aff. viride,Daily activity,"Classification of temporal variation (nocturnal, diurnal, or mixed) based on existing literature.",diurnal,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium barbacenicum,Size,,4.46,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium barbacenicum,Wing load,Ratio of wing area and size/length,2.42,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium barbacenicum,Anterior Tibiae Area,Direct measurement of the area of the anterior tibia,0.45,mm²,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium barbacenicum,Protorax Height,Direct measurement of the prothorax height,1.32,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium barbacenicum,Tibial Ratio,Ratio of apical middle tibia width to middle tibia length,0.38,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium barbacenicum,Generalism,"Levin's niche breadth index (Krebs, 1989)",15.77222053,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium barbacenicum,Horizontal Displacement,,no,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium barbacenicum,Nest,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium barbacenicum,Pear/Ball Nest,Binary observation of the presence (1) or absence (0) of ball or pear-shaped nest structures.,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium barbacenicum,Daily activity,"Classification of temporal variation (nocturnal, diurnal, or mixed) based on existing literature.",diurnal,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium cuprinum,Size,,5.46,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium cuprinum,Wing load,Ratio of wing area and size/length,3.66,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium cuprinum,Anterior Tibiae Area,Direct measurement of the area of the anterior tibia,0.65,mm²,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium cuprinum,Protorax Height,Direct measurement of the prothorax height,2.06,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium cuprinum,Tibial Ratio,Ratio of apical middle tibia width to middle tibia length,0.36,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium cuprinum,Generalism,"Levin's niche breadth index (Krebs, 1989)",4.428213652,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium cuprinum,Horizontal Displacement,,no,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium cuprinum,Nest,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium cuprinum,Pear/Ball Nest,Binary observation of the presence (1) or absence (0) of ball or pear-shaped nest structures.,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium cuprinum,Daily activity,"Classification of temporal variation (nocturnal, diurnal, or mixed) based on existing literature.",diurnal,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium sp.2,Size,,3.53,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium sp.2,Wing load,Ratio of wing area and size/length,1.95,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium sp.2,Anterior Tibiae Area,Direct measurement of the area of the anterior tibia,0.25,mm²,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium sp.2,Protorax Height,Direct measurement of the prothorax height,1.3,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium sp.2,Tibial Ratio,Ratio of apical middle tibia width to middle tibia length,0.42,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium sp.2,Generalism,"Levin's niche breadth index (Krebs, 1989)",236439.0625,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium sp.2,Horizontal Displacement,,no,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium sp.2,Nest,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium sp.2,Pear/Ball Nest,Binary observation of the presence (1) or absence (0) of ball or pear-shaped nest structures.,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium sp.2,Daily activity,"Classification of temporal variation (nocturnal, diurnal, or mixed) based on existing literature.",diurnal,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium sp.3,Size,,4.29,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium sp.3,Wing load,Ratio of wing area and size/length,2.47,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium sp.3,Anterior Tibiae Area,Direct measurement of the area of the anterior tibia,0.57,mm²,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium sp.3,Protorax Height,Direct measurement of the prothorax height,2.49,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthidium sp.3,Tibial Ratio,Ratio of apical middle tibia width to middle tibia length,0.45,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium sp.3,Generalism,"Levin's niche breadth index (Krebs, 1989)",na,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium sp.3,Horizontal Displacement,,no,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium sp.3,Nest,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium sp.3,Pear/Ball Nest,Binary observation of the presence (1) or absence (0) of ball or pear-shaped nest structures.,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthidium sp.3,Daily activity,"Classification of temporal variation (nocturnal, diurnal, or mixed) based on existing literature.",diurnal,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon daguerrei,Size,,5.59,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon daguerrei,Wing load,Ratio of wing area and size/length,2.58,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon daguerrei,Anterior Tibiae Area,Direct measurement of the area of the anterior tibia,0.86,mm²,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon daguerrei,Protorax Height,Direct measurement of the prothorax height,2.15,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon daguerrei,Tibial Ratio,Ratio of apical middle tibia width to middle tibia length,0.19,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Canthon daguerrei,Generalism,"Levin's niche breadth index (Krebs, 1989)",444.7561497,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon daguerrei,Horizontal Displacement,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon daguerrei,Nest,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon daguerrei,Pear/Ball Nest,Binary observation of the presence (1) or absence (0) of ball or pear-shaped nest structures.,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon daguerrei,Daily activity,"Classification of temporal variation (nocturnal, diurnal, or mixed) based on existing literature.",diurnal,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon histrio,Size,,8.41,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon histrio,Wing load,Ratio of wing area and size/length,4.18,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon histrio,Anterior Tibiae Area,Direct measurement of the area of the anterior tibia,1.63,mm²,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon histrio,Protorax Height,Direct measurement of the prothorax height,3.06,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon histrio,Tibial Ratio,Ratio of apical middle tibia width to middle tibia length,0.18,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Canthon histrio,Generalism,"Levin's niche breadth index (Krebs, 1989)",4714.580664,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon histrio,Horizontal Displacement,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon histrio,Nest,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon histrio,Pear/Ball Nest,Binary observation of the presence (1) or absence (0) of ball or pear-shaped nest structures.,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon histrio,Daily activity,"Classification of temporal variation (nocturnal, diurnal, or mixed) based on existing literature.",diurnal,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon lituratus,Size,,4.83,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon lituratus,Wing load,Ratio of wing area and size/length,1.86,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon lituratus,Anterior Tibiae Area,Direct measurement of the area of the anterior tibia,0.53,mm²,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon lituratus,Protorax Height,Direct measurement of the prothorax height,1.77,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon lituratus,Tibial Ratio,Ratio of apical middle tibia width to middle tibia length,0.15,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Canthon lituratus,Generalism,"Levin's niche breadth index (Krebs, 1989)",945756.25,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon lituratus,Horizontal Displacement,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon lituratus,Nest,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon lituratus,Pear/Ball Nest,Binary observation of the presence (1) or absence (0) of ball or pear-shaped nest structures.,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon lituratus,Daily activity,"Classification of temporal variation (nocturnal, diurnal, or mixed) based on existing literature.",diurnal,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon maldonadoi,Size,,4.33,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon maldonadoi,Wing load,Ratio of wing area and size/length,2.4,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon maldonadoi,Anterior Tibiae Area,Direct measurement of the area of the anterior tibia,0.39,mm²,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon maldonadoi,Protorax Height,Direct measurement of the prothorax height,1.65,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon maldonadoi,Tibial Ratio,Ratio of apical middle tibia width to middle tibia length,0.18,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Canthon maldonadoi,Generalism,"Levin's niche breadth index (Krebs, 1989)",na,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon maldonadoi,Horizontal Displacement,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon maldonadoi,Nest,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon maldonadoi,Pear/Ball Nest,Binary observation of the presence (1) or absence (0) of ball or pear-shaped nest structures.,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon maldonadoi,Daily activity,"Classification of temporal variation (nocturnal, diurnal, or mixed) based on existing literature.",diurnal,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon mutabilis,Size,,5.59,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon mutabilis,Wing load,Ratio of wing area and size/length,2.32,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon mutabilis,Anterior Tibiae Area,Direct measurement of the area of the anterior tibia,0.74,mm²,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon mutabilis,Protorax Height,Direct measurement of the prothorax height,2.11,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon mutabilis,Tibial Ratio,Ratio of apical middle tibia width to middle tibia length,0.19,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Canthon mutabilis,Generalism,"Levin's niche breadth index (Krebs, 1989)",8329.680227,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon mutabilis,Horizontal Displacement,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon mutabilis,Nest,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon mutabilis,Pear/Ball Nest,Binary observation of the presence (1) or absence (0) of ball or pear-shaped nest structures.,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon mutabilis,Daily activity,"Classification of temporal variation (nocturnal, diurnal, or mixed) based on existing literature.",diurnal,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon ornatus,Size,,7.7,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon ornatus,Wing load,Ratio of wing area and size/length,3.47,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon ornatus,Anterior Tibiae Area,Direct measurement of the area of the anterior tibia,1.25,mm²,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon ornatus,Protorax Height,Direct measurement of the prothorax height,2.43,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon ornatus,Tibial Ratio,Ratio of apical middle tibia width to middle tibia length,0.2,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Canthon ornatus,Generalism,"Levin's niche breadth index (Krebs, 1989)",na,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon ornatus,Horizontal Displacement,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon ornatus,Nest,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon ornatus,Pear/Ball Nest,Binary observation of the presence (1) or absence (0) of ball or pear-shaped nest structures.,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon ornatus,Daily activity,"Classification of temporal variation (nocturnal, diurnal, or mixed) based on existing literature.",diurnal,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon quinquemaculatus,Size,,7.99,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon quinquemaculatus,Wing load,Ratio of wing area and size/length,3.74,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon quinquemaculatus,Anterior Tibiae Area,Direct measurement of the area of the anterior tibia,1.62,mm²,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon quinquemaculatus,Protorax Height,Direct measurement of the prothorax height,3.01,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Canthon quinquemaculatus,Tibial Ratio,Ratio of apical middle tibia width to middle tibia length,0.18,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Canthon quinquemaculatus,Generalism,"Levin's niche breadth index (Krebs, 1989)",36.67048742,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon quinquemaculatus,Horizontal Displacement,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Canthon quinquemaculatus,Nest,,yes,,mode,,both,adult,,,,,,,,,,,
