basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Catharsius dayacus,Functional group: habit,,T,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Functional group: activity,,N,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Sex,,Maj M,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Body length,Measurement using a LEICA M165 stereo microscope and morphometric software Leica Application Suite (version 3.0),31.0479,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Thorax width,LEICA M165 stereo microscope and morphometric software Leica Application Suite (version 3.0),15.7891,mm,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Thorax length,,9.7362,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Thorax roundness,,1.621690187,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Thorax size,,0.3135864261,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Head width,Measurement using a LEICA M165 stereo microscope and morphometric software Leica Application Suite (version 3.0),11.2079,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Head length,,6.8558,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Head width :length,Morphometric measurement using a LEICA M165 stereo microscope and Leica Application Suite software,1.634805566,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left eye width,,1.8687,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left eye length,,1.7016,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Eye roundness,,1.098201693,ratio,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Eye size,Measurement using a LEICA M165 stereo microscope and morphometric software (Leica Application Suite version 3.0).,0.05480563903,mm,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Abdomen length,Measured using a LEICA M165 stereo microscope and morphometric software Leica Application Suite (version 3.0).,5.7855,mm,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left Hind leg length,,6.344,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left Hind leg width,,1.4375,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Hind leg robustness,,0.2265920555,mm,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left Wing length,,34.9981,mm,individual,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left Wing width,,13.5514,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Wing aspect ratio,,0.3872038768,ratio,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Wing loading,,0.7274308788,ratio,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Wing area,,356.6,mm²,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Hind leg size,,0.2043294394,mm,individual,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Repoductive capacity,Ratio of abdomen to thorax measured using a LEICA M165 stereo microscope and morphometric software,1.682862328,,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Body size,,0.8792699159,mm,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Functional group: habit,,T,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Functional group: activity,,N,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Sex,,Maj M,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Body length,Measurement using a LEICA M165 stereo microscope and morphometric software Leica Application Suite (version 3.0),32.4285,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Thorax width,LEICA M165 stereo microscope and morphometric software Leica Application Suite (version 3.0),17.3477,mm,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Thorax length,,10.0203,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Thorax roundness,,1.731255551,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Thorax size,,0.3089967159,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Head width,Measurement using a LEICA M165 stereo microscope and morphometric software Leica Application Suite (version 3.0),11.991,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Head length,,7.4649,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Head width :length,Morphometric measurement using a LEICA M165 stereo microscope and Leica Application Suite software,1.606317566,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left eye width,,2.0374,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left eye length,,1.8766,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Eye roundness,,1.085686881,ratio,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Eye size,Measurement using a LEICA M165 stereo microscope and morphometric software (Leica Application Suite version 3.0).,0.05786884993,mm,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Abdomen length,Measured using a LEICA M165 stereo microscope and morphometric software Leica Application Suite (version 3.0).,5.6386,mm,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left Hind leg length,,6.6933,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left Hind leg width,,1.6501,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Hind leg robustness,,0.2465301122,mm,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left Wing length,,37.4962,mm,individual,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left Wing width,,15.4288,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Wing aspect ratio,,0.4114763629,ratio,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Wing loading,,0.7720228693,ratio,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Wing area,,434.3091,mm²,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Hind leg size,,0.2064017762,mm,individual,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Repoductive capacity,Ratio of abdomen to thorax measured using a LEICA M165 stereo microscope and morphometric software,1.777090058,,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Body size,,0.9183682139,mm,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Functional group: habit,,T,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Functional group: activity,,N,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Sex,,Maj M,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Body length,Measurement using a LEICA M165 stereo microscope and morphometric software Leica Application Suite (version 3.0),30.3293,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Thorax width,LEICA M165 stereo microscope and morphometric software Leica Application Suite (version 3.0),15.138,mm,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Thorax length,,9.0501,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Thorax roundness,,1.6726887,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Thorax size,,0.2983946217,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Head width,Measurement using a LEICA M165 stereo microscope and morphometric software Leica Application Suite (version 3.0),10.8069,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Head length,,7.0771,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Head width :length,Morphometric measurement using a LEICA M165 stereo microscope and Leica Application Suite software,1.527023781,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left eye width,,1.8537,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left eye length,,1.9076,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Eye roundness,,0.9717446005,ratio,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Eye size,Measurement using a LEICA M165 stereo microscope and morphometric software (Leica Application Suite version 3.0).,0.06289627522,mm,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Abdomen length,Measured using a LEICA M165 stereo microscope and morphometric software Leica Application Suite (version 3.0).,6.324,mm,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left Hind leg length,,6.3596,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left Hind leg width,,1.5606,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Hind leg robustness,,0.245392792,mm,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left Wing length,,32.8073,mm,individual,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left Wing width,,13.0604,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Wing aspect ratio,,0.3980943266,ratio,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Wing loading,,0.7010825803,ratio,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Wing area,,321.8845,mm²,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Hind leg size,,0.2096850241,mm,individual,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Repoductive capacity,Ratio of abdomen to thorax measured using a LEICA M165 stereo microscope and morphometric software,1.431072106,,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Body size,,0.8589193169,mm,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Functional group: habit,,T,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Functional group: activity,,N,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Sex,,Maj M,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Body length,Measurement using a LEICA M165 stereo microscope and morphometric software Leica Application Suite (version 3.0),31.1998,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Thorax width,LEICA M165 stereo microscope and morphometric software Leica Application Suite (version 3.0),15.441,mm,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Thorax length,,9.548,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Thorax roundness,,1.617197319,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Thorax size,,0.3060276027,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Head width,Measurement using a LEICA M165 stereo microscope and morphometric software Leica Application Suite (version 3.0),11.181,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Head length,,6.9776,,mode,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Head width :length,Morphometric measurement using a LEICA M165 stereo microscope and Leica Application Suite software,1.602413437,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left eye width,,2.2797,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left eye length,,1.6346,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Eye roundness,,1.394653126,ratio,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Eye size,Measurement using a LEICA M165 stereo microscope and morphometric software (Leica Application Suite version 3.0).,0.05239136148,mm,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Abdomen length,Measured using a LEICA M165 stereo microscope and morphometric software Leica Application Suite (version 3.0).,5.9681,mm,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left Hind leg length,,6.3093,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left Hind leg width,,1.7229,mm,single observation,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Hind leg robustness,,0.2730730826,mm,mean,,both,adult,,,,,,1.0,,,,,
PreservedSpecimen,Catharsius dayacus,Left Wing length,,36.7532,mm,individual,,both,adult,,,,,,1.0,,,,,
