basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Aiolopus thalassinus,Body Size,Geometric mean of body length across adult males and females of a given species,20.86,mm,geometric mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aiolopus thalassinus,Femur Length: Body Size,Ratio of the geometric mean of hind femur length to body size,0.59,mm,ratio,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aiolopus thalassinus,Flight Capacity,,macropterous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aiolopus thalassinus,Feeding Guild,,herbivorous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aiolopus thalassinus,Lifestyle,Assignment based on taxonomic identification and expert knowledge/literature,grass-/herb-dwelling,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aiolopus thalassinus,Moisture Preference,Functional trait assignment based on expert knowledge and relevant literature,hygrophilous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arcyptera brevipennis,Body Size,Geometric mean of body length across adult males and females of a given species,28.25,mm,geometric mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arcyptera brevipennis,Femur Length: Body Size,Ratio of the geometric mean of hind femur length to body size,0.63,mm,ratio,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arcyptera brevipennis,Flight Capacity,,"brachypterous, squamipterous or apterous",mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arcyptera brevipennis,Feeding Guild,,herbivorous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arcyptera brevipennis,Lifestyle,Assignment based on taxonomic identification and expert knowledge/literature,both ground- and grass/herb-dwelling,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arcyptera brevipennis,Moisture Preference,Functional trait assignment based on expert knowledge and relevant literature,xerophilous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Calliptamus italicus,Body Size,Geometric mean of body length across adult males and females of a given species,21.49,mm,geometric mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Calliptamus italicus,Femur Length: Body Size,Ratio of the geometric mean of hind femur length to body size,0.60,mm,ratio,,both,adult,,,,,,,,,,,
PreservedSpecimen,Calliptamus italicus,Flight Capacity,,macropterous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Calliptamus italicus,Feeding Guild,,omnivorous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Calliptamus italicus,Lifestyle,Assignment based on taxonomic identification and expert knowledge/literature,both ground- and grass/herb-dwelling,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Calliptamus italicus,Moisture Preference,Functional trait assignment based on expert knowledge and relevant literature,xerophilous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus biguttulus,Body Size,Geometric mean of body length across adult males and females of a given species,17.29,mm,geometric mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus biguttulus,Femur Length: Body Size,Ratio of the geometric mean of hind femur length to body size,0.60,mm,ratio,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus biguttulus,Flight Capacity,,macropterous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus biguttulus,Feeding Guild,,herbivorous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus biguttulus,Lifestyle,Assignment based on taxonomic identification and expert knowledge/literature,grass-/herb-dwelling,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus biguttulus,Moisture Preference,Functional trait assignment based on expert knowledge and relevant literature,mesophilous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus biguttulus/mollis,Body Size,Geometric mean of body length across adult males and females of a given species,17.29,mm,geometric mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus biguttulus/mollis,Femur Length: Body Size,Ratio of the geometric mean of hind femur length to body size,0.60,mm,ratio,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus biguttulus/mollis,Flight Capacity,,macropterous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus biguttulus/mollis,Feeding Guild,,herbivorous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus biguttulus/mollis,Lifestyle,Assignment based on taxonomic identification and expert knowledge/literature,grass-/herb-dwelling,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus biguttulus/mollis,Moisture Preference,Functional trait assignment based on expert knowledge and relevant literature,mesophilous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus brunneus,Body Size,Geometric mean of body length across adult males and females of a given species,17.32,mm,geometric mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus brunneus,Femur Length: Body Size,Ratio of the geometric mean of hind femur length to body size,0.62,mm,ratio,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus brunneus,Flight Capacity,,macropterous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus brunneus,Feeding Guild,,herbivorous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus brunneus,Lifestyle,Assignment based on taxonomic identification and expert knowledge/literature,grass-/herb-dwelling,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus brunneus,Moisture Preference,Functional trait assignment based on expert knowledge and relevant literature,mesophilous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus dorsatus,Body Size,Geometric mean of body length across adult males and females of a given species,17.15,mm,geometric mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus dorsatus,Femur Length: Body Size,Ratio of the geometric mean of hind femur length to body size,0.63,mm,ratio,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus dorsatus,Flight Capacity,,"wing-dimorphic, either due to sexual dimorphism or the occurrence of distinct wing morphs",mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus dorsatus,Feeding Guild,,herbivorous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus dorsatus,Lifestyle,Assignment based on taxonomic identification and expert knowledge/literature,grass-/herb-dwelling,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus dorsatus,Moisture Preference,Functional trait assignment based on expert knowledge and relevant literature,mesophilous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus mollis,Body Size,Geometric mean of body length across adult males and females of a given species,16.91,mm,geometric mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus mollis,Femur Length: Body Size,Ratio of the geometric mean of hind femur length to body size,0.60,mm,ratio,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus mollis,Flight Capacity,,macropterous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus mollis,Feeding Guild,,herbivorous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus mollis,Lifestyle,Assignment based on taxonomic identification and expert knowledge/literature,grass-/herb-dwelling,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chorthippus mollis,Moisture Preference,Functional trait assignment based on expert knowledge and relevant literature,mesophilous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chrysochraon dispar,Body Size,Geometric mean of body length across adult males and females of a given species,20.49,mm,geometric mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chrysochraon dispar,Femur Length: Body Size,Ratio of the geometric mean of hind femur length to body size,0.61,mm,ratio,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chrysochraon dispar,Flight Capacity,,"wing-dimorphic, either due to sexual dimorphism or the occurrence of distinct wing morphs",mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chrysochraon dispar,Feeding Guild,,herbivorous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chrysochraon dispar,Lifestyle,Assignment based on taxonomic identification and expert knowledge/literature,grass-/herb-dwelling,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Chrysochraon dispar,Moisture Preference,Functional trait assignment based on expert knowledge and relevant literature,hygrophilous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euchorthippus declivus,Body Size,Geometric mean of body length across adult males and females of a given species,19.44,mm,geometric mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euchorthippus declivus,Femur Length: Body Size,Ratio of the geometric mean of hind femur length to body size,0.59,mm,ratio,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euchorthippus declivus,Flight Capacity,,"brachypterous, squamipterous or apterous",mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euchorthippus declivus,Feeding Guild,,herbivorous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euchorthippus declivus,Lifestyle,Assignment based on taxonomic identification and expert knowledge/literature,grass-/herb-dwelling,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euchorthippus declivus,Moisture Preference,Functional trait assignment based on expert knowledge and relevant literature,xerophilous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euthystira brachyptera,Body Size,Geometric mean of body length across adult males and females of a given species,17.55,mm,geometric mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euthystira brachyptera,Femur Length: Body Size,Ratio of the geometric mean of hind femur length to body size,0.65,mm,ratio,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euthystira brachyptera,Flight Capacity,,"wing-dimorphic, either due to sexual dimorphism or the occurrence of distinct wing morphs",mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euthystira brachyptera,Feeding Guild,,herbivorous,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euthystira brachyptera,Lifestyle,Assignment based on taxonomic identification and expert knowledge/literature,grass-/herb-dwelling,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euthystira brachyptera,Moisture Preference,Functional trait assignment based on expert knowledge and relevant literature,mesophilous,mm,mode,,both,adult,,,,,,,,,,,
