basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,A. gossypii,Host plant species,,Citrus sinensis,,mode,,female,adult,,,,,,Béni Khalled,,,,,
PreservedSpecimen,A. gossypii,Arsenophonus,PCR targeting the 16S rRNA gene,+,,mode,,female,adult,,,,,,Béni Khalled,,,,,
PreservedSpecimen,A. gossypii,S. symbiotica,PCR targeting the 16S rRNA gene,+,,mode,,female,adult,,,,,,Béni Khalled,,,,,
PreservedSpecimen,A. gossypii,R. insecticola,PCR amplification of a partial region of the 16S rRNA gene using specific primers (Table 1).,,,mode,,female,adult,,,,,,Béni Khalled,,,,,
PreservedSpecimen,A. gossypii,H. defensa,,,,mode,,female,adult,,,,,,Béni Khalled,,,,,
HumanObservation,A. gossypii,Host plant species,,Citrus sinensis,,mode,,female,adult,,,,,,Béni Khalled,,,,,
PreservedSpecimen,A. gossypii,Arsenophonus,PCR targeting the 16S rRNA gene,+,,mode,,female,adult,,,,,,Béni Khalled,,,,,
PreservedSpecimen,A. gossypii,S. symbiotica,PCR targeting the 16S rRNA gene,+,,mode,,female,adult,,,,,,Béni Khalled,,,,,
PreservedSpecimen,A. gossypii,R. insecticola,PCR amplification of a partial region of the 16S rRNA gene using specific primers (Table 1).,,,mode,,female,adult,,,,,,Béni Khalled,,,,,
PreservedSpecimen,A. gossypii,H. defensa,,,,mode,,female,adult,,,,,,Béni Khalled,,,,,
HumanObservation,A. gossypii,Host plant species,,Citrus sinensis‘Thomson Navel’,,mode,,female,adult,,,,,,Menzel Bouzelfa,,,,,
PreservedSpecimen,A. gossypii,Arsenophonus,PCR targeting the 16S rRNA gene,+,,mode,,female,adult,,,,,,Menzel Bouzelfa,,,,,
PreservedSpecimen,A. gossypii,S. symbiotica,PCR targeting the 16S rRNA gene,+,,mode,,female,adult,,,,,,Menzel Bouzelfa,,,,,
PreservedSpecimen,A. gossypii,R. insecticola,PCR amplification of a partial region of the 16S rRNA gene using specific primers (Table 1).,+,,mode,,female,adult,,,,,,Menzel Bouzelfa,,,,,
PreservedSpecimen,A. gossypii,H. defensa,,,,mode,,female,adult,,,,,,Menzel Bouzelfa,,,,,
HumanObservation,A. gossypii,Host plant species,,Citrus sinensis‘Thomson Navel’,,mode,,female,adult,,,,,,Menzel Bouzelfa,,,,,
PreservedSpecimen,A. gossypii,Arsenophonus,PCR targeting the 16S rRNA gene,+,,mode,,female,adult,,,,,,Menzel Bouzelfa,,,,,
PreservedSpecimen,A. gossypii,S. symbiotica,PCR targeting the 16S rRNA gene,+,,mode,,female,adult,,,,,,Menzel Bouzelfa,,,,,
PreservedSpecimen,A. gossypii,R. insecticola,PCR amplification of a partial region of the 16S rRNA gene using specific primers (Table 1).,,,mode,,female,adult,,,,,,Menzel Bouzelfa,,,,,
PreservedSpecimen,A. gossypii,H. defensa,,,,mode,,female,adult,,,,,,Menzel Bouzelfa,,,,,
HumanObservation,A. gossypii,Host plant species,,Citrus × limon,,mode,,female,adult,,,,,,Menzel Bouzelfa,,,,,
PreservedSpecimen,A. gossypii,Arsenophonus,PCR targeting the 16S rRNA gene,+,,mode,,female,adult,,,,,,Menzel Bouzelfa,,,,,
PreservedSpecimen,A. gossypii,S. symbiotica,PCR targeting the 16S rRNA gene,,,mode,,female,adult,,,,,,Menzel Bouzelfa,,,,,
PreservedSpecimen,A. gossypii,R. insecticola,PCR amplification of a partial region of the 16S rRNA gene using specific primers (Table 1).,,,mode,,female,adult,,,,,,Menzel Bouzelfa,,,,,
PreservedSpecimen,A. gossypii,H. defensa,,,,mode,,female,adult,,,,,,Menzel Bouzelfa,,,,,
HumanObservation,A. gossypii,Host plant species,,Citrus sinensis‘Washington Navel’,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,Arsenophonus,PCR targeting the 16S rRNA gene,+,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,S. symbiotica,PCR targeting the 16S rRNA gene,,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,R. insecticola,PCR amplification of a partial region of the 16S rRNA gene using specific primers (Table 1).,,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,H. defensa,,,,mode,,female,adult,,,,,,Takilsa,,,,,
HumanObservation,A. gossypii,Host plant species,,Citrus sinensis‘Washington Navel’,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,Arsenophonus,PCR targeting the 16S rRNA gene,+,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,S. symbiotica,PCR targeting the 16S rRNA gene,,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,R. insecticola,PCR amplification of a partial region of the 16S rRNA gene using specific primers (Table 1).,,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,H. defensa,,,,mode,,female,adult,,,,,,Takilsa,,,,,
HumanObservation,A. gossypii,Host plant species,,Citrus sinensis‘Washington Navel’,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,Arsenophonus,PCR targeting the 16S rRNA gene,+,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,S. symbiotica,PCR targeting the 16S rRNA gene,,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,R. insecticola,PCR amplification of a partial region of the 16S rRNA gene using specific primers (Table 1).,,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,H. defensa,,,,mode,,female,adult,,,,,,Takilsa,,,,,
HumanObservation,A. gossypii,Host plant species,,Citrus sinensis‘Washington Navel’,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,Arsenophonus,PCR targeting the 16S rRNA gene,,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,S. symbiotica,PCR targeting the 16S rRNA gene,,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,R. insecticola,PCR amplification of a partial region of the 16S rRNA gene using specific primers (Table 1).,,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,H. defensa,,,,mode,,female,adult,,,,,,Takilsa,,,,,
HumanObservation,A. gossypii,Host plant species,,Citrus sinensis,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,Arsenophonus,PCR targeting the 16S rRNA gene,+,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,S. symbiotica,PCR targeting the 16S rRNA gene,,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,R. insecticola,PCR amplification of a partial region of the 16S rRNA gene using specific primers (Table 1).,,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,H. defensa,,,,mode,,female,adult,,,,,,Takilsa,,,,,
HumanObservation,A. gossypii,Host plant species,,Citrus sinensis,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,Arsenophonus,PCR targeting the 16S rRNA gene,+,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,S. symbiotica,PCR targeting the 16S rRNA gene,,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,R. insecticola,PCR amplification of a partial region of the 16S rRNA gene using specific primers (Table 1).,,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,H. defensa,,,,mode,,female,adult,,,,,,Takilsa,,,,,
HumanObservation,A. gossypii,Host plant species,,Citrus sinensis,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,Arsenophonus,PCR targeting the 16S rRNA gene,+,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,S. symbiotica,PCR targeting the 16S rRNA gene,,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,R. insecticola,PCR amplification of a partial region of the 16S rRNA gene using specific primers (Table 1).,,,mode,,female,adult,,,,,,Takilsa,,,,,
PreservedSpecimen,A. gossypii,H. defensa,,,,mode,,female,adult,,,,,,Takilsa,,,,,
HumanObservation,A. gossypii,Host plant species,,Citrus clementina,,mode,,female,adult,,,,,,Mornag,,,,,
PreservedSpecimen,A. gossypii,Arsenophonus,PCR targeting the 16S rRNA gene,,,mode,,female,adult,,,,,,Mornag,,,,,
PreservedSpecimen,A. gossypii,S. symbiotica,PCR targeting the 16S rRNA gene,+,,mode,,female,adult,,,,,,Mornag,,,,,
PreservedSpecimen,A. gossypii,R. insecticola,PCR amplification of a partial region of the 16S rRNA gene using specific primers (Table 1).,,,mode,,female,adult,,,,,,Mornag,,,,,
PreservedSpecimen,A. gossypii,H. defensa,,,,mode,,female,adult,,,,,,Mornag,,,,,
HumanObservation,A. gossypii,Host plant species,,Citrus clementina,,mode,,female,adult,,,,,,Mornag,,,,,
PreservedSpecimen,A. gossypii,Arsenophonus,PCR targeting the 16S rRNA gene,+,,mode,,female,adult,,,,,,Mornag,,,,,
PreservedSpecimen,A. gossypii,S. symbiotica,PCR targeting the 16S rRNA gene,,,mode,,female,adult,,,,,,Mornag,,,,,
PreservedSpecimen,A. gossypii,R. insecticola,PCR amplification of a partial region of the 16S rRNA gene using specific primers (Table 1).,+,,mode,,female,adult,,,,,,Mornag,,,,,
PreservedSpecimen,A. gossypii,H. defensa,,,,mode,,female,adult,,,,,,Mornag,,,,,
HumanObservation,A. gossypii,Host plant species,,Citrus clementina,,mode,,female,adult,,,,,,Mornag,,,,,
PreservedSpecimen,A. gossypii,Arsenophonus,PCR targeting the 16S rRNA gene,+,,mode,,female,adult,,,,,,Mornag,,,,,
PreservedSpecimen,A. gossypii,S. symbiotica,PCR targeting the 16S rRNA gene,,,mode,,female,adult,,,,,,Mornag,,,,,
PreservedSpecimen,A. gossypii,R. insecticola,PCR amplification of a partial region of the 16S rRNA gene using specific primers (Table 1).,,,mode,,female,adult,,,,,,Mornag,,,,,
PreservedSpecimen,A. gossypii,H. defensa,,,,mode,,female,adult,,,,,,Mornag,,,,,
HumanObservation,A. gossypii,Host plant species,,Citrus clementina,,mode,,female,adult,,,,,,Mornag,,,,,
