basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Andrena crataegi,Flower Handling,,1.00,%,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena crataegi,Pollen Purity,,$0.48 \pm 0.10$,%,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena crataegi,Body Length,,11.5,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena crataegi,Flower Handling,,1.00,%,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena crataegi,Pollen Purity,,$0.70 \pm 0.06$,%,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena crataegi,Body Length,,10.5,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena crataegi,Pollen Purity,,0.48,%,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena crataegi,Pollen Purity,,0.48,%,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena crataegi,Score,,4.01,Relative contribution,Comparison of relative contributions,,both,adult,,,,,,,,,,,
HumanObservation,Andrena crataegi,Score,,4.01,Relative contribution,Comparison of relative contributions,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena crataegi,Length,Measurement of intertegular distances of field-collected bees,11.5,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena crataegi,Length (mm),Measurement of intertegular distance or body length of field-collected bees,11.5,mm,range,,both,adult,,,,,,,,,,,
HumanObservation,Andrena crataegi,Martins et al 2015,,1.00,Proportion,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena crataegi,Martins et al 2015,,1.00,Proportion,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena crataegi,Park et al 2015,,na,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena crataegi,Park et al 2015,,na,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena crataegi,Floral Handling,,1.00,%,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena crataegi,Floral Handling,,1.00,%,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena crataegi,Intertegular distances,,2.2,proportion,mean,,both,adult,,,,,,,,,,,
