basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Aglais_urticae,WingsHR,average between minimum and maximum wingspan reported in four literature sources,23.5,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aglais_urticae,WingsPamp,,47.5,,average,,both,adult,,,,,,,,,,,
,Aglais_urticae,WingLaf,,24,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aglais_urticae,wingsTSF,Wingspan was obtained as the average between minimum and maximum wingspan reported in literature sources.,48,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aglais_urticae,wingsTSM,,45,,mean,,both,adult,,,,,,,,,,,
,Aglais_urticae,Volt,,1,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aglais_urticae,Flight Months,,5,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aglais_urticae,First emergence,Molecular analysis of COI gene sequences combined with functional trait extraction and environmental modeling.,6,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aglais_urticae,First Month,,5,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aglais_urticae,Last Month,Phenology assessment based on personal observations and the Butterfly Diversity and Evolution Lab database (2009–2018).,9,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aglais_urticae,Tmean,,8.12,°C,mean,,both,adult,,,,,,,,,,,
,Aglais_urticae,T95L,,7.94,,mode,,both,adult,,,,,,,,,,,
,Aglais_urticae,T95H,,8.3,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aglais_urticae,TSD,Calculation of genetic differentiation indices ($G_{st}$ and $D_{st}$) using mitochondrial COI sequences,3.76,ratio,Single observation,,both,adult,,,,,,,,,,,
,Aglais_urticae,Pmean,,781.52,,mode,,both,adult,,,,,,,,,,,
,Aglais_urticae,P95L,,766.71,,mode,,both,adult,,,,,,,,,,,
,Aglais_urticae,P95H,,796.34,,mode,,both,adult,,,,,,,,,,,
