basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
Occurrence,Carabid beetles,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",Feeding,,mode,,both,adult,,,,,,,,,,,
Occurrence,Carabid beetles,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",Dispersal,,mode,,both,adult,,,,,,,,,,,
Occurrence,Carabid beetles,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",Feeding,,mode,,both,adult,,,,,,,,,,,
Occurrence,Calathus fuscipes,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",generalist,,mode,,both,adult,,,,,,,,,,,
Occurrence,Calathus fuscipes,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",flightless,,mode,,both,adult,,,,,,,,,,,
Occurrence,Calathus fuscipes,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",generalist,,mode,,both,adult,,,,,,,,,,,
Occurrence,Calathus erratus,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",generalist,,mode,,both,adult,,,,,,,,,,,
Occurrence,Calathus erratus,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",flying,,mode,,both,adult,,,,,,,,,,,
Occurrence,Calathus erratus,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",generalist,,mode,,both,adult,,,,,,,,,,,
Occurrence,Oxypselaphus obscurus,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",collembola,,mode,,both,adult,,,,,,,,,,,
Occurrence,Oxypselaphus obscurus,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",flying,,mode,,both,adult,,,,,,,,,,,
Occurrence,Oxypselaphus obscurus,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",collembola,,mode,,both,adult,,,,,,,,,,,
Occurrence,Carabus nemoralis,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",generalist,,mode,,both,adult,,,,,,,,,,,
Occurrence,Carabus nemoralis,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",flightless,,mode,,both,adult,,,,,,,,,,,
Occurrence,Carabus nemoralis,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",generalist,,mode,,both,adult,,,,,,,,,,,
Occurrence,Pterostichus niger,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",generalist,,mode,,both,adult,,,,,,,,,,,
Occurrence,Pterostichus niger,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",flying,,mode,,both,adult,,,,,,,,,,,
Occurrence,Pterostichus niger,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",generalist,,mode,,both,adult,,,,,,,,,,,
Occurrence,Pterostichus oblongopunctatus,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",generalist,,mode,,both,adult,,,,,,,,,,,
Occurrence,Pterostichus oblongopunctatus,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",flightless,,mode,,both,adult,,,,,,,,,,,
Occurrence,Pterostichus oblongopunctatus,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",generalist,,mode,,both,adult,,,,,,,,,,,
Occurrence,Poecilus versicolor,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",generalist,,mode,,both,adult,,,,,,,,,,,
Occurrence,Poecilus versicolor,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",flying,,mode,,both,adult,,,,,,,,,,,
Occurrence,Poecilus versicolor,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",generalist,,mode,,both,adult,,,,,,,,,,,
Occurrence,Amara lunicollis,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",phytophagous,,mode,,both,adult,,,,,,,,,,,
Occurrence,Amara lunicollis,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",flying,,mode,,both,adult,,,,,,,,,,,
Occurrence,Amara lunicollis,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",phytophagous,,mode,,both,adult,,,,,,,,,,,
Occurrence,Calathus micropterus,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",generalist,,mode,,both,adult,,,,,,,,,,,
Occurrence,Calathus micropterus,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",flightless,,mode,,both,adult,,,,,,,,,,,
Occurrence,Calathus micropterus,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",generalist,,mode,,both,adult,,,,,,,,,,,
Occurrence,Bradycellus ruficollis,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",phytophagous,,mode,,both,adult,,,,,,,,,,,
Occurrence,Bradycellus ruficollis,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",flying,,mode,,both,adult,,,,,,,,,,,
Occurrence,Bradycellus ruficollis,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",phytophagous,,mode,,both,adult,,,,,,,,,,,
Occurrence,Amara tibialis,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",phytophagous,,mode,,both,adult,,,,,,,,,,,
Occurrence,Amara tibialis,life history traits,"Assignment based on literature data, utilizing morphophysiological and phenological features",flying,,mode,,both,adult,,,,,,,,,,,
