basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Andrena callopyrrha,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena callopyrrha,Female body size,,2.34,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena delicatula,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena delicatula,Female body size,,2.57,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena luridiloma,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena luridiloma,Female body size,,1.95,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena mediocalens,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena mediocalens,Female body size,,2.21,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena taraxaci,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena taraxaci,Female body size,,1.68,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena thoracica,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena thoracica,Female body size,,2.91,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Anthophora plumipes,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anthophora plumipes,Female body size,,3.31,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Apis cerana,Nesting location,,Above ground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apis cerana,Female body size,,2.62,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Ceratina flavipes,Nesting location,,Above ground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ceratina flavipes,Female body size,,1.78,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Ceratina japonica,Nesting location,,Above ground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ceratina japonica,Female body size,,1.71,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Ceratina okinawana,Nesting location,,Above ground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ceratina okinawana,Female body size,,1.22,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Ceratina smaragdula,Nesting location,,Above ground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ceratina smaragdula,Female body size,,1.41,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Eucera floralia,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Eucera floralia,Female body size,,2.86,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Habropoda sinensis,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Habropoda sinensis,Female body size,,2.96,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Halictus aerarius,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Halictus aerarius,Female body size,,1.03,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Halictus tsingtouensis,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Halictus tsingtouensis,Female body size,,2.13,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Lasioglossum halictoides,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum halictoides,Female body size,,2.67,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Lasioglossum occidens,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum occidens,Female body size,,2.26,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Lasioglossum proximatum,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum proximatum,Female body size,,2.43,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Lasioglossum scitulum,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum scitulum,Female body size,,2.31,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Lasioglossum sp1,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum sp1,Female body size,,2,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Lasioglossum sp2,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum sp2,Female body size,,2.42,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Lasioglossum sp3,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum sp3,Female body size,,2.36,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Lasioglossum sp4,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum sp4,Female body size,,2.15,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Lasioglossum sp5,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum sp5,Female body size,,2.33,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Lasioglossum sp6,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum sp6,Female body size,,2.32,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Lasioglossum subopacum,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum subopacum,Female body size,,2.89,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Osmia cornifrons,Nesting location,,Above ground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Osmia cornifrons,Female body size,,2.86,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Osmia excavata,Nesting location,,Above ground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Osmia excavata,Female body size,,2.73,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Osmia microdonta,Nesting location,,Underground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Osmia microdonta,Female body size,,2.33,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Osmia pedicornis,Nesting location,,Above ground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Osmia pedicornis,Female body size,,2.88,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Osmia sp1,Nesting location,,Above ground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Osmia sp1,Female body size,,2.71,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Xylocopa rufipes,Nesting location,,Above ground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Xylocopa rufipes,Female body size,,4.59,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Xylocopa tranquebarorum,Nesting location,,Above ground,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Xylocopa tranquebarorum,Female body size,,4.5,mm,mean,,both,adult,,,,,,,,,,,
