basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Andrena algidaSmith 1853,intertegular distance,,1.91,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena algidaSmith 1853,Nest loc.,Compilation of existing trait information from primary resources (Pardee2018; Table S3),below,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena algidaSmith 1853,Overw. stage,"Compilation of existing trait information from primary resources and literature (e.g., Pardee 2018; Table S3)",adults,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena algidaSmith 1853,Em. points,,0,days,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena algidaSmith 1853,Peak points,Generalized Additive Models (GAMs) applied to abundance time-series data to predict the date of maximum abundance,1,days,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena lawrenceiViereck & Cockerell 1914,intertegular distance,,2.36,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena lawrenceiViereck & Cockerell 1914,Nest loc.,Compilation of existing trait information from primary resources (Pardee2018; Table S3),below,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena lawrenceiViereck & Cockerell 1914,Overw. stage,"Compilation of existing trait information from primary resources and literature (e.g., Pardee 2018; Table S3)",adults,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena lawrenceiViereck & Cockerell 1914,Em. points,,0,days,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena lawrenceiViereck & Cockerell 1914,Peak points,Generalized Additive Models (GAMs) applied to abundance time-series data to predict the date of maximum abundance,0,days,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena nothocalaidisCockerell 1905,intertegular distance,,2.15,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena nothocalaidisCockerell 1905,Nest loc.,Compilation of existing trait information from primary resources (Pardee2018; Table S3),below,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena nothocalaidisCockerell 1905,Overw. stage,"Compilation of existing trait information from primary resources and literature (e.g., Pardee 2018; Table S3)",adults,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena nothocalaidisCockerell 1905,Em. points,,0,days,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena nothocalaidisCockerell 1905,Peak points,Generalized Additive Models (GAMs) applied to abundance time-series data to predict the date of maximum abundance,0,days,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena transnigraViereck 1904,intertegular distance,,3.17,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena transnigraViereck 1904,Nest loc.,Compilation of existing trait information from primary resources (Pardee2018; Table S3),below,,mode,,both,adult,,,,,,,,,,,
