basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Agonum muelleri AGMU,Body length,,8.28,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum muelleri AGMU,Mandible Length/Width,,1.15,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara conflata AMCO,Body length,,9.95,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara conflata AMCO,Mandible Length/Width,,0.86,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara impuncticollis AMIM,Body length,,7.79,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara impuncticollis AMIM,Mandible Length/Width,,0.79,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara obesa AMOB,Body length,,11.57,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara obesa AMOB,Mandible Length/Width,,1.03,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara patruelis AMPA,Body length,,7.97,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara patruelis AMPA,Mandible Length/Width,,0.85,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara sanjuanensis AMSA,Body length,,7.64,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara sanjuanensis AMSA,Mandible Length/Width,,0.94,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara spp AMSP,Body length,,6.06,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara spp AMSP,Mandible Length/Width,,0.98,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anisodactylus binotatus ANBI,Body length,,11.65,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anisodactylus binotatus ANBI,Mandible Length/Width,,0.83,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Calathus fuscipes CAFU,Body length,,11.87,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Calathus fuscipes CAFU,Mandible Length/Width,,1.06,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Carabus nemoralis CANE,Body length,,22.83,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Carabus nemoralis CANE,Mandible Length/Width,,1.29,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Carabus taedatus CATA,Body length,,20.38,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Carabus taedatus CATA,Mandible Length/Width,,1.19,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Cychrus tuberculatus CATU,Body length,,20.97,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Cychrus tuberculatus CATU,Mandible Length/Width,,1.42,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Harpalus affinis HAAF,Body length,,11.02,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Harpalus affinis HAAF,Mandible Length/Width,,0.89,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Harpalus animosus HAAN,Body length,,12.78,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Harpalus animosus HAAN,Mandible Length/Width,,0.84,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Harpalus cordifer HACO,Body length,,8.39,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Harpalus cordifer HACO,Mandible Length/Width,,0.82,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Harpalus spp HASP,Body length,,9.40,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Harpalus spp HASP,Mandible Length/Width,,0.86,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lebia viridis LEVI,Body length,,4.00,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lebia viridis LEVI,Mandible Length/Width,,0.95,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Leistus ferruginosus LEFE,Body length,,8.96,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Leistus ferruginosus LEFE,Mandible Length/Width,,0.56,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Microlestes nigrinnis MINI,Body length,,2.83,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Microlestes nigrinnis MINI,Mandible Length/Width,,0.81,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Nebria brevicollis NEBR,Body length,,11.31,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Nebria brevicollis NEBR,Mandible Length/Width,,0.80,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Notiophilus sylvaticus NOSY,Body length,,4.88,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Notiophilus sylvaticus NOSY,Mandible Length/Width,,0.89,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Omus audouini OMAU,Body length,,15.13,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Omus audouini OMAU,Mandible Length/Width,,1.09,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Omus dejeani OMDE,Body length,,19.52,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Omus dejeani OMDE,Mandible Length/Width,,1.07,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Platynus ovipennis PLOV,Body length,,10.89,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Platynus ovipennis PLOV,Mandible Length/Width,,1.04,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Promecognathus crassus PRCR,Body length,,11.77,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Promecognathus crassus PRCR,Mandible Length/Width,,1.49,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus adstrictus PTAD,Body length,,11.49,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus adstrictus PTAD,Mandible Length/Width,,1.12,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus algidus PTAM,Body length,,13.08,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus algidus PTAM,Mandible Length/Width,,1.03,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus amethystinus PTAM,Body length,,12.93,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus amethystinus PTAM,Mandible Length/Width,,0.98,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus crenicollis PTCR,Body length,,17.29,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus crenicollis PTCR,Mandible Length/Width,,1.14,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus herculaneus PTHE,Body length,,14.06,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus herculaneus PTHE,Mandible Length/Width,,0.99,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus infernalis PTIN,Body length,,9.17,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus infernalis PTIN,Mandible Length/Width,,1.08,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus lama PTLA,Body length,,23.30,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus lama PTLA,Mandible Length/Width,,1.03,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus nigracaeruleus PTNI,Body length,,11.02,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus nigracaeruleus PTNI,Mandible Length/Width,,1.19,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus pumilis PTPU,Body length,,8.41,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus pumilis PTPU,Mandible Length/Width,,1.13,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus rothi PTRO,Body length,,10.16,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus rothi PTRO,Mandible Length/Width,,1.17,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus spp PTSP,Body length,,12.63,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pterostichus spp PTSP,Mandible Length/Width,,1.07,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Scaphinotus angulatus SCAL,Body length,,17.54,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Scaphinotus angulatus SCAL,Mandible Length/Width,,1.82,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Scaphinotus angusticollis SCAN,Body length,,19.88,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Scaphinotus angusticollis SCAN,Mandible Length/Width,,1.42,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Scaphinotus marginatus SCMA,Body length,,12.73,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Scaphinotus marginatus SCMA,Mandible Length/Width,,1.67,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Syntomus americanus SYAM,Body length,,2.91,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Syntomus americanus SYAM,Mandible Length/Width,,0.96,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tanystoma sulcata TASU,Body length,,10.67,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tanystoma sulcata TASU,Mandible Length/Width,,1.02,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Trachypachus holmbergi TRHO,Body length,,4.61,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Trachypachus holmbergi TRHO,Mandible Length/Width,,0.71,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Unknown1 NA,Body length,,3.03,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Unknown1 NA,Mandible Length/Width,,0.98,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Unknown2 NA,Body length,,5.64,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Unknown2 NA,Mandible Length/Width,,0.91,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Unknown3 NA,Body length,,2.77,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Unknown3 NA,Mandible Length/Width,,1.07,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Unknown5 NA,Body length,,4.85,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Unknown5 NA,Mandible Length/Width,,0.86,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Zacotus mathewsi ZAMA,Body length,,15.13,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Zacotus mathewsi ZAMA,Mandible Length/Width,,0.99,mm,individual,,both,adult,,,,,,,,,,,
