basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Homoneura sheldoni,Number of individuals,Pan traps and sweeping,65,count,0.018,,both,adult,,,,,,,,,,,
PreservedSpecimen,Homoneura sheldoni,Significant Association,,Bog,count,0.018,,both,adult,,,,,,,,,,,
PreservedSpecimen,Homoneura sheldoni,Feeding,Larval feeding habit assigned based on species traits (Table S1),saprophage,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Homoneura sheldoni,Size,Mean measurement of 2 specimens,3.07,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Homoneura sheldoni,Spe/Gen,Larval feeding habit analysis,Generalist,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Homoneura sheldoni,Habitat pref,Assignment based on existing taxonomic and ecological knowledge,moist,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Homoneura sheldoni,Type wetland,,intermediate,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Homoneura sheldoni,Freq occurrence,,found in 2 to 6 sites,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Homoneura sheldoni,No specimens,Collection using pan traps and sweeping over specified areas (30m x 30m) and timeframes (weekly for six weeks),common,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Homoneura sheldoni,Voltinism,,bivoltine/ multivoltine,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Homoneura sheldoni,Overwin stage,"Identification of the life stage (E, L, P, A) of the collected specimens",larvae,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Homoneura sheldoni,Specializ,,obligate,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euaresta bella,Number of individuals,Pan traps and sweeping,36,count,0.018,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euaresta bella,Significant Association,,Bog,count,0.018,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euaresta bella,Feeding,Larval feeding habit assigned based on species traits (Table S1),phytophage,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euaresta bella,Size,Mean measurement of 2 specimens,3.03,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euaresta bella,Spe/Gen,Larval feeding habit analysis,Specialist,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Euaresta bella,Habitat pref,Assignment based on existing taxonomic and ecological knowledge,lentic,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Euaresta bella,Type wetland,,broad,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euaresta bella,Freq occurrence,,found in 7 to 13 sites,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euaresta bella,No specimens,Collection using pan traps and sweeping over specified areas (30m x 30m) and timeframes (weekly for six weeks),common,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Euaresta bella,Voltinism,,univoltine,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euaresta bella,Overwin stage,"Identification of the life stage (E, L, P, A) of the collected specimens",adult,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Euaresta bella,Specializ,,facultative,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Malloewia abdominalis,Number of individuals,Pan traps and sweeping,122,count,0.050,,both,adult,,,,,,,,,,,
PreservedSpecimen,Malloewia abdominalis,Significant Association,,Bog,count,0.050,,both,adult,,,,,,,,,,,
PreservedSpecimen,Malloewia abdominalis,Feeding,Larval feeding habit assigned based on species traits (Table S1),saprophage,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Malloewia abdominalis,Size,Mean measurement of 2 specimens,1.77,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Malloewia abdominalis,Spe/Gen,Larval feeding habit analysis,NA,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Malloewia abdominalis,Habitat pref,Assignment based on existing taxonomic and ecological knowledge,NA,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Malloewia abdominalis,Type wetland,,broad,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Malloewia abdominalis,Freq occurrence,,found in 7 to 13 sites,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Malloewia abdominalis,No specimens,Collection using pan traps and sweeping over specified areas (30m x 30m) and timeframes (weekly for six weeks),common,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Malloewia abdominalis,Voltinism,,bivoltine/ multivoltine,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Malloewia abdominalis,Overwin stage,"Identification of the life stage (E, L, P, A) of the collected specimens",NA,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Malloewia abdominalis,Specializ,,NA,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Malloewia nigripalpis,Number of individuals,Pan traps and sweeping,17,count,0.050,,both,adult,,,,,,,,,,,
PreservedSpecimen,Malloewia nigripalpis,Significant Association,,Bog,count,0.050,,both,adult,,,,,,,,,,,
PreservedSpecimen,Malloewia nigripalpis,Feeding,Larval feeding habit assigned based on species traits (Table S1),saprophage,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Malloewia nigripalpis,Size,Mean measurement of 2 specimens,1.73,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Malloewia nigripalpis,Spe/Gen,Larval feeding habit analysis,NA,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Malloewia nigripalpis,Habitat pref,Assignment based on existing taxonomic and ecological knowledge,NA,mm,mean,,both,adult,,,,,,,,,,,
