basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,"Papilionidae Parnassiinae Parnassius Latreille, 1804 apollo",Size,,78.5,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Papilionidae Parnassiinae Parnassius Latreille, 1804 apollo",Overwintering stage,,E,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Papilionidae Parnassiinae Parnassius Latreille, 1804 apollo",Host type,"Classification based on larval diet (forb-feeder, grass-feeder, tree-feeder, etc.)",F,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Papilionidae Parnassiinae Parnassius Latreille, 1804 apollo",Larval diet breadth,,M,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Papilionidae Parnassiinae Parnassius Latreille, 1804 apollo",Voltinism,,U,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Papilionidae Parnassiinae Parnassius Latreille, 1804 mnemosyne",Size,,57,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Papilionidae Parnassiinae Parnassius Latreille, 1804 mnemosyne",Overwintering stage,,E,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Papilionidae Parnassiinae Parnassius Latreille, 1804 mnemosyne",Host type,"Classification based on larval diet (forb-feeder, grass-feeder, tree-feeder, etc.)",F,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Papilionidae Parnassiinae Parnassius Latreille, 1804 mnemosyne",Larval diet breadth,,M,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Papilionidae Parnassiinae Parnassius Latreille, 1804 mnemosyne",Voltinism,,U,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Papilionidae Papilioninae Papilio Linnaeus, 1758 machaon",Size,,79.5,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Papilionidae Papilioninae Papilio Linnaeus, 1758 machaon",Overwintering stage,,P,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Papilionidae Papilioninae Papilio Linnaeus, 1758 machaon",Host type,"Classification based on larval diet (forb-feeder, grass-feeder, tree-feeder, etc.)",F,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Papilionidae Papilioninae Papilio Linnaeus, 1758 machaon",Larval diet breadth,,O,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Papilionidae Papilioninae Papilio Linnaeus, 1758 machaon",Voltinism,,M,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Hesperiidae Pyrginae Pyrgus Hübner, 1819 malvae",Size,,23,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Hesperiidae Pyrginae Pyrgus Hübner, 1819 malvae",Overwintering stage,,P,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Hesperiidae Pyrginae Pyrgus Hübner, 1819 malvae",Host type,"Classification based on larval diet (forb-feeder, grass-feeder, tree-feeder, etc.)",F,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Hesperiidae Pyrginae Pyrgus Hübner, 1819 malvae",Larval diet breadth,,O,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Hesperiidae Pyrginae Pyrgus Hübner, 1819 malvae",Voltinism,,M,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Hesperiidae Pyrginae Pyrgus Hübner, 1819 alveus",Size,,26.5,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Hesperiidae Pyrginae Pyrgus Hübner, 1819 alveus",Overwintering stage,,L,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Hesperiidae Pyrginae Pyrgus Hübner, 1819 alveus",Host type,"Classification based on larval diet (forb-feeder, grass-feeder, tree-feeder, etc.)",F,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Hesperiidae Pyrginae Pyrgus Hübner, 1819 alveus",Larval diet breadth,,O,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Hesperiidae Pyrginae Pyrgus Hübner, 1819 alveus",Voltinism,,U,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Hesperiidae Heteropterinae Carterocephalus Lederer, 1852 palaemon",Size,,26.5,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Hesperiidae Heteropterinae Carterocephalus Lederer, 1852 palaemon",Overwintering stage,,L,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Hesperiidae Heteropterinae Carterocephalus Lederer, 1852 palaemon",Host type,"Classification based on larval diet (forb-feeder, grass-feeder, tree-feeder, etc.)",G,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Hesperiidae Heteropterinae Carterocephalus Lederer, 1852 palaemon",Larval diet breadth,,O,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Hesperiidae Heteropterinae Carterocephalus Lederer, 1852 palaemon",Voltinism,,U,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Hesperiidae Hesperiinae Thymelicus Hübner, 1819 lineola",Size,,24,mm,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,"Hesperiidae Hesperiinae Thymelicus Hübner, 1819 lineola",Overwintering stage,,E,mm,mean ± SE,,both,adult,,,,,,,,,,,
