basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Aphodiinae Aphodiini Acanthobodilusimmundus,Horse,,6,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aphodiinae Aphodiini Acanthobodilusimmundus,Cow,,17,"Varied (e.g., mm, g, %, count)",mean,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Acanthobodilusimmundus,Total,Pitfall traps baited with cow or horse dung,23,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Acrossus luridus,Horse,,66,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aphodiinae Aphodiini Acrossus luridus,Cow,,163,"Varied (e.g., mm, g, %, count)",mean,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Acrossus luridus,Total,Pitfall traps baited with cow or horse dung,229,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Acrossus rufipes,Horse,,0,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aphodiinae Aphodiini Acrossus rufipes,Cow,,4,"Varied (e.g., mm, g, %, count)",mean,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Acrossus rufipes,Total,Pitfall traps baited with cow or horse dung,4,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Agrilinus constans,Horse,,0,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aphodiinae Aphodiini Agrilinus constans,Cow,,1,"Varied (e.g., mm, g, %, count)",mean,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Agrilinus constans,Total,Pitfall traps baited with cow or horse dung,1,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Agrilinus convexus,Horse,,5,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aphodiinae Aphodiini Agrilinus convexus,Cow,,18,"Varied (e.g., mm, g, %, count)",mean,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Agrilinus convexus,Total,Pitfall traps baited with cow or horse dung,23,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Amidorus thermicola,Horse,,2,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aphodiinae Aphodiini Amidorus thermicola,Cow,,0,"Varied (e.g., mm, g, %, count)",mean,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Amidorus thermicola,Total,Pitfall traps baited with cow or horse dung,2,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Aphodius coniugatus,Horse,,1,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aphodiinae Aphodiini Aphodius coniugatus,Cow,,10,"Varied (e.g., mm, g, %, count)",mean,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Aphodius coniugatus,Total,Pitfall traps baited with cow or horse dung,11,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Aphodius fimetarius,Horse,,44,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aphodiinae Aphodiini Aphodius fimetarius,Cow,,114,"Varied (e.g., mm, g, %, count)",mean,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Aphodius fimetarius,Total,Pitfall traps baited with cow or horse dung,158,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Aphodius foetidus,Horse,,4,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aphodiinae Aphodiini Aphodius foetidus,Cow,,7,"Varied (e.g., mm, g, %, count)",mean,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Aphodius foetidus,Total,Pitfall traps baited with cow or horse dung,11,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Biralus mahunkaorum,Horse,,0,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aphodiinae Aphodiini Biralus mahunkaorum,Cow,,1,"Varied (e.g., mm, g, %, count)",mean,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Biralus mahunkaorum,Total,Pitfall traps baited with cow or horse dung,1,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Bodilopsis rufa,Horse,,21,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aphodiinae Aphodiini Bodilopsis rufa,Cow,,808,"Varied (e.g., mm, g, %, count)",mean,,both,adult,,,,,,,,,,,
HumanObservation,Aphodiinae Aphodiini Bodilopsis rufa,Total,Pitfall traps baited with cow or horse dung,829,count,single observation,,both,adult,,,,,,,,,,,
