basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Lasioglossum tarsatum,Solitary,"Classification based on established taxonomic and ecological literature (e.g., BWARS, Yeo and Corbet, 2015)",Solitary,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Lasioglossum tarsatum,Soil,,Soil,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Lasioglossum tarsatum,polylectic,Classification of feeding preference based on the number of plant families utilized by the larvae,polylectic,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum xanthopus,Solitary,"Classification based on established taxonomic and ecological literature (e.g., BWARS, Yeo and Corbet, 2015)",Solitary,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Lasioglossum xanthopus,Soil,,Herbaceous plants,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Lasioglossum xanthopus,polylectic,Classification of feeding preference based on the number of plant families utilized by the larvae,polylectic,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum zonulum,Solitary,"Classification based on established taxonomic and ecological literature (e.g., BWARS, Yeo and Corbet, 2015)",Solitary,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Lasioglossum zonulum,Soil,,Soil,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Lasioglossum zonulum,polylectic,Classification of feeding preference based on the number of plant families utilized by the larvae,polylectic,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Megachile centuncularis,Solitary,"Classification based on established taxonomic and ecological literature (e.g., BWARS, Yeo and Corbet, 2015)",Solitary,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Megachile centuncularis,Soil,,Dead wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Megachile centuncularis,polylectic,Classification of feeding preference based on the number of plant families utilized by the larvae,polylectic,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Megachile circumcincta Kirby, 1802",Solitary,"Classification based on established taxonomic and ecological literature (e.g., BWARS, Yeo and Corbet, 2015)",Solitary,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Megachile circumcincta Kirby, 1802",Soil,,Dead wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Megachile circumcincta Kirby, 1802",polylectic,Classification of feeding preference based on the number of plant families utilized by the larvae,polylectic,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Megachile leachella Curtis, 1828",Solitary,"Classification based on established taxonomic and ecological literature (e.g., BWARS, Yeo and Corbet, 2015)",Solitary,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Megachile leachella Curtis, 1828",Soil,,Soil,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Megachile leachella Curtis, 1828",polylectic,Classification of feeding preference based on the number of plant families utilized by the larvae,polylectic,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Megachile maritima,Solitary,"Classification based on established taxonomic and ecological literature (e.g., BWARS, Yeo and Corbet, 2015)",Solitary,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Megachile maritima,Soil,,Woody plant,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Megachile maritima,polylectic,Classification of feeding preference based on the number of plant families utilized by the larvae,polylectic,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Megachile melanopyga Costa, 1863",Solitary,"Classification based on established taxonomic and ecological literature (e.g., BWARS, Yeo and Corbet, 2015)",Solitary,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Megachile melanopyga Costa, 1863",Soil,,Woody plant,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Megachile melanopyga Costa, 1863",polylectic,Classification of feeding preference based on the number of plant families utilized by the larvae,oligolectic,,mode,,both,adult,,,,,,,,,,,
