basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Drosophila suzukii,Total flight time (s),,2.00,,min,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,No. bouts,,1,,min,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Total flight time (s),,23.49,,median,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,No. bouts,,1,,median,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Total flight time (s),,53.93,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,No. bouts,,2.58,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Total flight time (s),,377.66,,max,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,No. bouts,,26,,max,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Distance (m),,0.69,,min,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Total flight time (s),,1.36,,min,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Velocity (m/s),,0.13,,min,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Distance (m),,4.58,,median,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Total flight time (s),,15.11,,median,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Velocity (m/s),,0.29,,median,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,No. bouts,,2,,median,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Distance (m),,19.96,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Total flight time (s),,59.57,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Velocity (m/s),,0.30,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,No. bouts,,3.52,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Distance (m),,283.03,,max,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Total flight time (s),,810.81,,max,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Velocity (m/s),,0.52,,max,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,No. bouts,,10,,max,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Free flight chamber,,2.00,,min,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Tethered flight mill,,1.36,,min,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Free flight chamber,,18.44,,median,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Tethered flight mill,,5.38,,median,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Free flight chamber,,36.68,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Tethered flight mill,,11.74,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Free flight chamber,,377.66,,max,,both,adult,,,,,,,,,,,
HumanObservation,Drosophila suzukii,Tethered flight mill,,108.66,,max,,both,adult,,,,,,,,,,,
