basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
,Nicrophorus nepalensis,ele,,400.0,,mode,,both,adult,,,,,,1.0,,,,,
,Nicrophorus nepalensis,amount,,0.0,,mode,,both,adult,,,,,,1.0,,,,,
,Nicrophorus nepalensis,ele,,400.0,,mode,,both,adult,,,,,,1.0,,,,,
,Nicrophorus nepalensis,amount,,0.0,,mode,,both,adult,,,,,,1.0,,,,,
,Nicrophorus nepalensis,ele,,200.0,,mode,,both,adult,,,,,,1.0,,,,,
,Nicrophorus nepalensis,amount,,0.33,,mode,,both,adult,,,,,,1.0,,,,,
,Nicrophorus nepalensis,ele,,100.0,,mode,,both,adult,,,,,,1.0,,,,,
,Nicrophorus nepalensis,amount,,0.0,,mode,,both,adult,,,,,,1.0,,,,,
,Nicrophorus nepalensis,ele,,400.0,,mode,,both,adult,,,,,,1.0,,,,,
,Nicrophorus nepalensis,amount,,0.0,,mode,,both,adult,,,,,,1.0,,,,,
,Nicrophorus nepalensis,ele,,500.0,,mode,,both,adult,,,,,,1.0,,,,,
,Nicrophorus nepalensis,amount,,0.0,,mode,,both,adult,,,,,,1.0,,,,,
,Nicrophorus nepalensis,ele,,500.0,,mode,,both,adult,,,,,,1.0,,,,,
,Nicrophorus nepalensis,amount,,0.0,,mode,,both,adult,,,,,,1.0,,,,,
,Nicrophorus nepalensis,ele,,300.0,,mode,,both,adult,,,,,,1.0,,,,,
,Nicrophorus nepalensis,amount,,0.33,,mode,,both,adult,,,,,,1.0,,,,,
,Nicrophorus nepalensis,ele,,200.0,,mode,,both,adult,,,,,,1.0,,,,,
,Nicrophorus nepalensis,amount,,1.0,,mode,,both,adult,,,,,,1.0,,,,,
