basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Anteon brachycerum,Trophic level,"Classification based on feeding guild (pollinator, primary predator, hyper predator)","Primary predators feeding on Hemiptera, Lepidoptera, Orthoptera, and pollinator Hymenoptera",,mean,,both,adult,,,,,,,,,,,
,Anteon brachycerum,Flight duraiton,,1,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anteon brachycerum,Body size,,2.75,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Anteon brachycerum,Elevational range,Difference between the lowest and highest elevations at which the species was collected,104,m,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anteon brachycerum,Nesting position,,Below-ground nesting,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Anteon brachycerum,Soil dependence,,Aculeata feeding flowers and above-ground animals,,mean,,both,adult,,,,,,,,,,,
Occurrence,Anteon brachycerum,Distribution index,,2.5,index,mean,,both,adult,,,,,,,,,,,
HumanObservation,Anteon brachycerum,Feeding guild,,Parasitoid,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anteon jurineanum,Trophic level,"Classification based on feeding guild (pollinator, primary predator, hyper predator)","Primary predators feeding on Hemiptera, Lepidoptera, Orthoptera, and pollinator Hymenoptera",,mean,,both,adult,,,,,,,,,,,
,Anteon jurineanum,Flight duraiton,,2,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anteon jurineanum,Body size,,2.55,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Anteon jurineanum,Elevational range,Difference between the lowest and highest elevations at which the species was collected,1074,m,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anteon jurineanum,Nesting position,,Below-ground nesting,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Anteon jurineanum,Soil dependence,,Aculeata feeding flowers and above-ground animals,,mean,,both,adult,,,,,,,,,,,
Occurrence,Anteon jurineanum,Distribution index,,3.5,index,mean,,both,adult,,,,,,,,,,,
HumanObservation,Anteon jurineanum,Feeding guild,,Parasitoid,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anteon scapulare,Trophic level,"Classification based on feeding guild (pollinator, primary predator, hyper predator)","Primary predators feeding on Hemiptera, Lepidoptera, Orthoptera, and pollinator Hymenoptera",,mean,,both,adult,,,,,,,,,,,
,Anteon scapulare,Flight duraiton,,2,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anteon scapulare,Body size,,4.5,mm,mean,,both,adult,,,,,,,,,,,
