basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Zygoptera Calopterygidae Calopteryx exul Ca-Cex,Body size BS,Fuzzy coding approach,0.0,"Derived from temperature and precipitation (e.g., °C, mm)",single observation,,both,adult,,,,,,,,,,,
Occurrence,Zygoptera Calopterygidae Calopteryx exul Ca-Cex,BL,,0.0,"Derived from temperature and precipitation (e.g., °C, mm)",mean,,both,adult,,,,,,,,,,,
Occurrence,Zygoptera Calopterygidae Calopteryx exul Ca-Cex,Distribution DC,,0.0,"Derived from temperature and precipitation (e.g., °C, mm)",mode,,both,adult,,,,,,,,,,,
HumanObservation,Zygoptera Calopterygidae Calopteryx exul Ca-Cex,DF,,0.0,"Derived from temperature and precipitation (e.g., °C, mm)",mode,,both,adult,,,,,,,,,,,
HumanObservation,Zygoptera Calopterygidae Calopteryx exul Ca-Cex,DR,"Fuzzy coding approach (Chevenet et al., 1994)",1.0,"Derived from temperature and precipitation (e.g., °C, mm)",mode,,both,adult,,,,,,,,,,,
HumanObservation,Zygoptera Calopterygidae Calopteryx exul Ca-Cex,Iberian Peninsula Range RU,,1.0,"Derived from temperature and precipitation (e.g., °C, mm)",mode,,both,adult,,,,,,,,,,,
HumanObservation,Zygoptera Calopterygidae Calopteryx exul Ca-Cex,RC,,0.0,"Derived from temperature and precipitation (e.g., °C, mm)",mode,,both,adult,,,,,,,,,,,
HumanObservation,Zygoptera Calopterygidae Calopteryx exul Ca-Cex,RL,,0.0,"Derived from temperature and precipitation (e.g., °C, mm)",mode,,both,adult,,,,,,,,,,,
HumanObservation,Zygoptera Calopterygidae Calopteryx exul Ca-Cex,Altitudinal distribution AL,Species Distribution Models (SDMs) using bioclimatic variables (GLM and BRT),0.0,"Derived from temperature and precipitation (e.g., °C, mm)",mode,,both,adult,,,,,,,,,,,
HumanObservation,Zygoptera Calopterygidae Calopteryx exul Ca-Cex,AM,,0.5,"Derived from temperature and precipitation (e.g., °C, mm)",mode,,both,adult,,,,,,,,,,,
HumanObservation,Zygoptera Calopterygidae Calopteryx exul Ca-Cex,AH,Fuzzy coding approach,0.5,"Derived from temperature and precipitation (e.g., °C, mm)",mode,,both,adult,,,,,,,,,,,
HumanObservation,Zygoptera Calopterygidae Calopteryx exul Ca-Cex,Habitat HR,,0.3,"Derived from temperature and precipitation (e.g., °C, mm)",mode,,both,adult,,,,,,,,,,,
HumanObservation,Zygoptera Calopterygidae Calopteryx exul Ca-Cex,HS,"Fuzzy coding approach (Chevenet et al., 1994)",0.7,"Derived from temperature and precipitation (e.g., °C, mm)",mode,,both,adult,,,,,,,,,,,
HumanObservation,Zygoptera Calopterygidae Calopteryx exul Ca-Cex,HL,"Traits were quantified using a fuzzy coding approach (Chevenet et al., 1994).",0.0,"Derived from temperature and precipitation (e.g., °C, mm)",mode,,both,adult,,,,,,,,,,,
