basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Arachnida Araneae Linyphiidae Agyneta fuscipalpa,Stand. body size,,-0.65,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Agyneta fuscipalpa,FoodPl,,0,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Linyphiidae Agyneta fuscipalpa,FoodAni,Literature review and expert consultation based on species descriptions and ecological research.,1,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Agyneta fuscipalpa,FoodFg,Functional trait determination based on expert knowledge and literature review of species characteristics,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Agyneta fuscipalpa,FoodDet,Functional trait assignment based on literature review and expert identification of collected specimens,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Agyneta fuscipalpa,FoodCopro,Functional trait determination based on expert knowledge and literature review,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Agyneta fuscipalpa,IngestFood,Functional trait analysis based on taxonomic identification and literature review,External digestion and sucking,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Linyphiidae Agyneta fuscipalpa,ActDay,,1,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Agyneta fuscipalpa,ActNig,,1,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Linyphiidae Agyneta fuscipalpa,ActTwi,,1,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Agyneta fuscipalpa,DispersaLdisp,,High dispersal ability,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Theridiidae Cryptachaea blattea,Stand. body size,,-0.48,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Theridiidae Cryptachaea blattea,FoodPl,,0,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Theridiidae Cryptachaea blattea,FoodAni,Literature review and expert consultation based on species descriptions and ecological research.,1,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Theridiidae Cryptachaea blattea,FoodFg,Functional trait determination based on expert knowledge and literature review of species characteristics,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Theridiidae Cryptachaea blattea,FoodDet,Functional trait assignment based on literature review and expert identification of collected specimens,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Theridiidae Cryptachaea blattea,FoodCopro,Functional trait determination based on expert knowledge and literature review,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Theridiidae Cryptachaea blattea,IngestFood,Functional trait analysis based on taxonomic identification and literature review,External digestion and sucking,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Theridiidae Cryptachaea blattea,ActDay,,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Theridiidae Cryptachaea blattea,ActNig,,1,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Theridiidae Cryptachaea blattea,ActTwi,,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Theridiidae Cryptachaea blattea,DispersaLdisp,,High dispersal ability,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Dysderidae Dysdera crocata,Stand. body size,,3.13,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Dysderidae Dysdera crocata,FoodPl,,0,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Dysderidae Dysdera crocata,FoodAni,Literature review and expert consultation based on species descriptions and ecological research.,1,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Dysderidae Dysdera crocata,FoodFg,Functional trait determination based on expert knowledge and literature review of species characteristics,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Dysderidae Dysdera crocata,FoodDet,Functional trait assignment based on literature review and expert identification of collected specimens,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Dysderidae Dysdera crocata,FoodCopro,Functional trait determination based on expert knowledge and literature review,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Dysderidae Dysdera crocata,IngestFood,Functional trait analysis based on taxonomic identification and literature review,External digestion and sucking,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Dysderidae Dysdera crocata,ActDay,,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Dysderidae Dysdera crocata,ActNig,,1,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Dysderidae Dysdera crocata,ActTwi,,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Dysderidae Dysdera crocata,DispersaLdisp,,Low dispersal ability,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone atra,Stand. body size,,-0.73,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone atra,FoodPl,,0,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Linyphiidae Erigone atra,FoodAni,Literature review and expert consultation based on species descriptions and ecological research.,1,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone atra,FoodFg,Functional trait determination based on expert knowledge and literature review of species characteristics,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone atra,FoodDet,Functional trait assignment based on literature review and expert identification of collected specimens,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone atra,FoodCopro,Functional trait determination based on expert knowledge and literature review,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone atra,IngestFood,Functional trait analysis based on taxonomic identification and literature review,External digestion and sucking,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Linyphiidae Erigone atra,ActDay,,1,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone atra,ActNig,,1,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Linyphiidae Erigone atra,ActTwi,,1,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone atra,DispersaLdisp,,High dispersal ability,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone autumnalis,Stand. body size,,-0.98,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone autumnalis,FoodPl,,0,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Linyphiidae Erigone autumnalis,FoodAni,Literature review and expert consultation based on species descriptions and ecological research.,1,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone autumnalis,FoodFg,Functional trait determination based on expert knowledge and literature review of species characteristics,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone autumnalis,FoodDet,Functional trait assignment based on literature review and expert identification of collected specimens,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone autumnalis,FoodCopro,Functional trait determination based on expert knowledge and literature review,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone autumnalis,IngestFood,Functional trait analysis based on taxonomic identification and literature review,External digestion and sucking,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Linyphiidae Erigone autumnalis,ActDay,,1,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone autumnalis,ActNig,,1,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Linyphiidae Erigone autumnalis,ActTwi,,1,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone autumnalis,DispersaLdisp,,High dispersal ability,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone dentipalpis,Stand. body size,,-0.59,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone dentipalpis,FoodPl,,0,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Linyphiidae Erigone dentipalpis,FoodAni,Literature review and expert consultation based on species descriptions and ecological research.,1,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone dentipalpis,FoodFg,Functional trait determination based on expert knowledge and literature review of species characteristics,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone dentipalpis,FoodDet,Functional trait assignment based on literature review and expert identification of collected specimens,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone dentipalpis,FoodCopro,Functional trait determination based on expert knowledge and literature review,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone dentipalpis,IngestFood,Functional trait analysis based on taxonomic identification and literature review,External digestion and sucking,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Linyphiidae Erigone dentipalpis,ActDay,,1,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone dentipalpis,ActNig,,1,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Linyphiidae Erigone dentipalpis,ActTwi,,1,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Erigone dentipalpis,DispersaLdisp,,High dispersal ability,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Mimetidae Ero furcata,Stand. body size,,-0.14,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Mimetidae Ero furcata,FoodPl,,0,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Mimetidae Ero furcata,FoodAni,Literature review and expert consultation based on species descriptions and ecological research.,1,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Mimetidae Ero furcata,FoodFg,Functional trait determination based on expert knowledge and literature review of species characteristics,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Mimetidae Ero furcata,FoodDet,Functional trait assignment based on literature review and expert identification of collected specimens,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Mimetidae Ero furcata,FoodCopro,Functional trait determination based on expert knowledge and literature review,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Mimetidae Ero furcata,IngestFood,Functional trait analysis based on taxonomic identification and literature review,External digestion and sucking,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Mimetidae Ero furcata,ActDay,,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Mimetidae Ero furcata,ActNig,,1,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Mimetidae Ero furcata,ActTwi,,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Mimetidae Ero furcata,DispersaLdisp,,Low dispersal ability,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Gen. sp.,Stand. body size,,NA,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Gen. sp.,FoodPl,,0,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Linyphiidae Gen. sp.,FoodAni,Literature review and expert consultation based on species descriptions and ecological research.,1,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Gen. sp.,FoodFg,Functional trait determination based on expert knowledge and literature review of species characteristics,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Gen. sp.,FoodDet,Functional trait assignment based on literature review and expert identification of collected specimens,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Gen. sp.,FoodCopro,Functional trait determination based on expert knowledge and literature review,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Gen. sp.,IngestFood,Functional trait analysis based on taxonomic identification and literature review,External digestion and sucking,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Linyphiidae Gen. sp.,ActDay,,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Gen. sp.,ActNig,,1,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Linyphiidae Gen. sp.,ActTwi,,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Linyphiidae Gen. sp.,DispersaLdisp,,High dispersal ability,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Gnaphosidae Marinarozelotes lyonneti,Stand. body size,,1.22,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Gnaphosidae Marinarozelotes lyonneti,FoodPl,,0,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Arachnida Araneae Gnaphosidae Marinarozelotes lyonneti,FoodAni,Literature review and expert consultation based on species descriptions and ecological research.,1,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Gnaphosidae Marinarozelotes lyonneti,FoodFg,Functional trait determination based on expert knowledge and literature review of species characteristics,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Gnaphosidae Marinarozelotes lyonneti,FoodDet,Functional trait assignment based on literature review and expert identification of collected specimens,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Gnaphosidae Marinarozelotes lyonneti,FoodCopro,Functional trait determination based on expert knowledge and literature review,0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Arachnida Araneae Gnaphosidae Marinarozelotes lyonneti,IngestFood,Functional trait analysis based on taxonomic identification and literature review,External digestion and sucking,mm,mean,,both,adult,,,,,,,,,,,
