basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Agonum impressum,Length,,10.0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum impressum,Body Size,,large,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum impressum,Feeding Trait,Classification of feeding trait based on life cycle behavior (strictly predator vs. occasional predator/herbivore),carnivorous,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum impressum,Wing Morphology,,macropterous,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum viridicupreum,Length,,10.0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum viridicupreum,Body Size,,large,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum viridicupreum,Feeding Trait,Classification of feeding trait based on life cycle behavior (strictly predator vs. occasional predator/herbivore),carnivorous,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum viridicupreum,Wing Morphology,,macropterous,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Amara curta Dejean, 1828",Length,,9.0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Amara curta Dejean, 1828",Body Size,,large,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Amara curta Dejean, 1828",Feeding Trait,Classification of feeding trait based on life cycle behavior (strictly predator vs. occasional predator/herbivore),carnivorous,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Amara curta Dejean, 1828",Wing Morphology,,macropterous,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anchomenus dorsalis,Length,,8.0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anchomenus dorsalis,Body Size,,large,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anchomenus dorsalis,Feeding Trait,Classification of feeding trait based on life cycle behavior (strictly predator vs. occasional predator/herbivore),omnivorous,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anchomenus dorsalis,Wing Morphology,,macropterous,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Anchomenus turkestanicus Ballion, 1871",Length,,7.8,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Anchomenus turkestanicus Ballion, 1871",Body Size,,large,,mode,,both,adult,,,,,,,,,,,
