basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,"Acupalpus dubius Schilsky, 1888",Body size,"Distance from the tip of the mandibles to the end of the abdomen, measured with a Vernier Caliper.",3.62,mm,single observation,,both,adult,,,,,,1,,,,,
PreservedSpecimen,"Acupalpus dubius Schilsky, 1888",trophic level,,Predatory,mm,single observation,,both,adult,,,,,,1,,,,,
PreservedSpecimen,Agonum sp1.,Body size,"Distance from the tip of the mandibles to the end of the abdomen, measured with a Vernier Caliper.",8.64,mm,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Agonum sp1.,trophic level,,/,mm,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Agonum sp2.,Body size,"Distance from the tip of the mandibles to the end of the abdomen, measured with a Vernier Caliper.",10.02,mm,single observation,,both,adult,,,,,,40,,,,,
PreservedSpecimen,Agonum sp2.,trophic level,,Predatory,mm,single observation,,both,adult,,,,,,40,,,,,
PreservedSpecimen,"Amara alacris Tschitscherine, 1899",Body size,"Distance from the tip of the mandibles to the end of the abdomen, measured with a Vernier Caliper.",5.75,mm,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,"Amara alacris Tschitscherine, 1899",trophic level,,Non-predatory,mm,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,"Amara aurichalcea Germar, 1824",Body size,"Distance from the tip of the mandibles to the end of the abdomen, measured with a Vernier Caliper.",8.75,mm,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,"Amara aurichalcea Germar, 1824",trophic level,,Non-predatory,mm,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,"Amara chalcites Dejean, 1828",Body size,"Distance from the tip of the mandibles to the end of the abdomen, measured with a Vernier Caliper.",9.31,mm,single observation,,both,adult,,,,,,2,,,,,
PreservedSpecimen,"Amara chalcites Dejean, 1828",trophic level,,Non-predatory,mm,single observation,,both,adult,,,,,,2,,,,,
PreservedSpecimen,"Amara communis Panzer, 1796",Body size,"Distance from the tip of the mandibles to the end of the abdomen, measured with a Vernier Caliper.",7.33,mm,single observation,,both,adult,,,,,,15,,,,,
PreservedSpecimen,"Amara communis Panzer, 1796",trophic level,,Non-predatory,mm,single observation,,both,adult,,,,,,15,,,,,
PreservedSpecimen,"Amara harpaloides Dejean, 1828",Body size,"Distance from the tip of the mandibles to the end of the abdomen, measured with a Vernier Caliper.",11.41,mm,single observation,,both,adult,,,,,,6,,,,,
PreservedSpecimen,"Amara harpaloides Dejean, 1828",trophic level,,Non-predatory,mm,single observation,,both,adult,,,,,,6,,,,,
PreservedSpecimen,"Amara majuscula Chaudoir, 1850",Body size,"Distance from the tip of the mandibles to the end of the abdomen, measured with a Vernier Caliper.",7.20,mm,single observation,,both,adult,,,,,,4,,,,,
PreservedSpecimen,"Amara majuscula Chaudoir, 1850",trophic level,,Non-predatory,mm,single observation,,both,adult,,,,,,4,,,,,
PreservedSpecimen,Amara sp1.,Body size,"Distance from the tip of the mandibles to the end of the abdomen, measured with a Vernier Caliper.",8.32,mm,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Amara sp1.,trophic level,,Non-predatory,mm,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Amara sp2.,Body size,"Distance from the tip of the mandibles to the end of the abdomen, measured with a Vernier Caliper.",7.35,mm,single observation,,both,adult,,,,,,12,,,,,
PreservedSpecimen,Amara sp2.,trophic level,,Non-predatory,mm,single observation,,both,adult,,,,,,12,,,,,
PreservedSpecimen,Amara sp3.,Body size,"Distance from the tip of the mandibles to the end of the abdomen, measured with a Vernier Caliper.",9.14,mm,single observation,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Amara sp3.,trophic level,,Non-predatory,mm,single observation,,both,adult,,,,,,2,,,,,
PreservedSpecimen,"Amara tumida Morawitz, 1862",Body size,"Distance from the tip of the mandibles to the end of the abdomen, measured with a Vernier Caliper.",6.53,mm,single observation,,both,adult,,,,,,3,,,,,
PreservedSpecimen,"Amara tumida Morawitz, 1862",trophic level,,Non-predatory,mm,single observation,,both,adult,,,,,,3,,,,,
PreservedSpecimen,"Anisodactylus punctatipennis Morawitz, 1862",Body size,"Distance from the tip of the mandibles to the end of the abdomen, measured with a Vernier Caliper.",11.30,mm,single observation,,both,adult,,,,,,5,,,,,
PreservedSpecimen,"Anisodactylus punctatipennis Morawitz, 1862",trophic level,,Non-predatory,mm,single observation,,both,adult,,,,,,5,,,,,
PreservedSpecimen,"Asaphidion semilucidum Motschulsky, 1862",Body size,"Distance from the tip of the mandibles to the end of the abdomen, measured with a Vernier Caliper.",4.69,mm,single observation,,both,adult,,,,,,7,,,,,
PreservedSpecimen,"Asaphidion semilucidum Motschulsky, 1862",trophic level,,Non-predatory,mm,single observation,,both,adult,,,,,,7,,,,,
PreservedSpecimen,"Bembidion difforme Motschulsky, 1844",Body size,"Distance from the tip of the mandibles to the end of the abdomen, measured with a Vernier Caliper.",4.00,mm,single observation,,both,adult,,,,,,1,,,,,
PreservedSpecimen,"Bembidion difforme Motschulsky, 1844",trophic level,,Predatory,mm,single observation,,both,adult,,,,,,1,,,,,
PreservedSpecimen,Bembidion incidiosum,Body size,"Distance from the tip of the mandibles to the end of the abdomen, measured with a Vernier Caliper.",4.91,mm,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Bembidion incidiosum,trophic level,,Predatory,mm,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,"Bembidion pogonoides Bate, 1883",Body size,"Distance from the tip of the mandibles to the end of the abdomen, measured with a Vernier Caliper.",6.54,mm,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,"Bembidion pogonoides Bate, 1883",trophic level,,Predatory,mm,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Bradycellussp.,Body size,"Distance from the tip of the mandibles to the end of the abdomen, measured with a Vernier Caliper.",6.06,mm,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Bradycellussp.,trophic level,,Non-predatory,mm,single observation,,both,adult,,,,,,0,,,,,
