basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Andrena bicolor,Size group,,medium,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena bicolor,Foraging habit,,polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena bicolor,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena carantonica,Size group,,large,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena carantonica,Foraging habit,,polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena carantonica,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena chrysosceles,Size group,,medium,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena chrysosceles,Foraging habit,,polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena chrysosceles,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena cineraria,Size group,,large,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena cineraria,Foraging habit,,polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena cineraria,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena clarkella,Size group,,large,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena clarkella,Foraging habit,,oligolectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena clarkella,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena dorsata,Size group,,medium,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena dorsata,Foraging habit,,polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena dorsata,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena flavipes,Size group,,medium,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena flavipes,Foraging habit,,polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena flavipes,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena fulva,Size group,,medium,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena fulva,Foraging habit,,polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena fulva,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena gravida,Size group,,large,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena gravida,Foraging habit,,polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena gravida,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena haemorrhoa,Size group,,medium,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena haemorrhoa,Foraging habit,,polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena haemorrhoa,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena helvola,Size group,,medium,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena helvola,Foraging habit,,polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena helvola,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena labialis,Size group,,large,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena labialis,Foraging habit,,oligolectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena labialis,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena minutula agg.,Size group,,small,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena minutula agg.,Foraging habit,,polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena minutula agg.,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena mitis,Size group,,medium,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena mitis,Foraging habit,,oligolectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena mitis,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena nigroaenea,Size group,,large,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena nigroaenea,Foraging habit,,polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena nigroaenea,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena nitida,Size group,,large,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena nitida,Foraging habit,,polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena nitida,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena ovatula,Size group,,medium,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena ovatula,Foraging habit,,polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena ovatula,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena praecox,Size group,,medium,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena praecox,Foraging habit,,oligolectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena praecox,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena strohmella,Size group,,small,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena strohmella,Foraging habit,,polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena strohmella,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena tibialis,Size group,,large,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena tibialis,Foraging habit,,polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena tibialis,Nesting habit,,below-ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena vaga,Size group,,large,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena vaga,Foraging habit,,oligolectic,,mode,,both,adult,,,,,,,,,,,
