basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Aphaenogaster ashmeadi,Habitat index,Proportion of sampling units in which a species appeared in shrub habitats relative to all sampling units,0.00,,ratio,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster ashmeadi,Mass,"Ants were dried in an oven at 60°C for 24 hours to determine dry mass, followed by weighing using a microbalance.",0.65,mg,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster ashmeadi,head width,Standard linear measurement using an ocular micrometer on a dissecting microscope.,1.02,mm,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster ashmeadi,head length,Standard linear measurements taken using an ocular micrometer on a dissecting microscope.,1.46,mm,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster ashmeadi,leg length,,6.16,mm,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster ashmeadi,relative leg length,Relative leg length (RL) calculated as the ratio RL=log_10 (total hind leg length + 1)/log_10 (head length + 1),2.19,,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster ashmeadi,diurnality index,,0.51,,mode,,both,adult,minor worker,,,,,,,,,,
HumanObservation,Aphaenogaster ashmeadi,foraging thermal limit,,39.50,,mode,,both,adult,minor worker,,,,,,,,,,
LivingSpecimen,Aphaenogaster ashmeadi,lethal temperature,,42.3,,mode,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Brachymyrmex depilis,Habitat index,Proportion of sampling units in which a species appeared in shrub habitats relative to all sampling units,0.72,,ratio,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Brachymyrmex depilis,Mass,"Ants were dried in an oven at 60°C for 24 hours to determine dry mass, followed by weighing using a microbalance.",0.02,mg,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Brachymyrmex depilis,head width,Standard linear measurement using an ocular micrometer on a dissecting microscope.,0.34,mm,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Brachymyrmex depilis,head length,Standard linear measurements taken using an ocular micrometer on a dissecting microscope.,0.37,mm,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Brachymyrmex depilis,leg length,,0.89,mm,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Brachymyrmex depilis,relative leg length,Relative leg length (RL) calculated as the ratio RL=log_10 (total hind leg length + 1)/log_10 (head length + 1),2.02,,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Brachymyrmex depilis,diurnality index,,-,,mode,,both,adult,minor worker,,,,,,,,,,
HumanObservation,Brachymyrmex depilis,foraging thermal limit,,-,,mode,,both,adult,minor worker,,,,,,,,,,
LivingSpecimen,Brachymyrmex depilis,lethal temperature,,-,,mode,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus castaneus,Habitat index,Proportion of sampling units in which a species appeared in shrub habitats relative to all sampling units,0.06,,ratio,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus castaneus,Mass,"Ants were dried in an oven at 60°C for 24 hours to determine dry mass, followed by weighing using a microbalance.",2.01,mg,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus castaneus,head width,Standard linear measurement using an ocular micrometer on a dissecting microscope.,1.53,mm,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus castaneus,head length,Standard linear measurements taken using an ocular micrometer on a dissecting microscope.,2.01,mm,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus castaneus,leg length,,8.02,mm,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus castaneus,relative leg length,Relative leg length (RL) calculated as the ratio RL=log_10 (total hind leg length + 1)/log_10 (head length + 1),2.00,,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus castaneus,diurnality index,,-,,mode,,both,adult,minor worker,,,,,,,,,,
HumanObservation,Camponotus castaneus,foraging thermal limit,,-,,mode,,both,adult,minor worker,,,,,,,,,,
LivingSpecimen,Camponotus castaneus,lethal temperature,,-,,mode,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus floridanus,Habitat index,Proportion of sampling units in which a species appeared in shrub habitats relative to all sampling units,0.69,,ratio,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus floridanus,Mass,"Ants were dried in an oven at 60°C for 24 hours to determine dry mass, followed by weighing using a microbalance.",1.18,mg,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus floridanus,head width,Standard linear measurement using an ocular micrometer on a dissecting microscope.,1.42,mm,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus floridanus,head length,Standard linear measurements taken using an ocular micrometer on a dissecting microscope.,1.69,mm,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus floridanus,leg length,,6.75,mm,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus floridanus,relative leg length,Relative leg length (RL) calculated as the ratio RL=log_10 (total hind leg length + 1)/log_10 (head length + 1),2.07,,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus floridanus,diurnality index,,0.17,,mode,,both,adult,minor worker,,,,,,,,,,
HumanObservation,Camponotus floridanus,foraging thermal limit,,36.50,,mode,,both,adult,minor worker,,,,,,,,,,
LivingSpecimen,Camponotus floridanus,lethal temperature,,40.8,,mode,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus socius,Habitat index,Proportion of sampling units in which a species appeared in shrub habitats relative to all sampling units,0.86,,ratio,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus socius,Mass,"Ants were dried in an oven at 60°C for 24 hours to determine dry mass, followed by weighing using a microbalance.",3.07,mg,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus socius,head width,Standard linear measurement using an ocular micrometer on a dissecting microscope.,1.72,mm,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus socius,head length,Standard linear measurements taken using an ocular micrometer on a dissecting microscope.,2.16,mm,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus socius,leg length,,10.51,mm,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus socius,relative leg length,Relative leg length (RL) calculated as the ratio RL=log_10 (total hind leg length + 1)/log_10 (head length + 1),2.12,,mean,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Camponotus socius,diurnality index,,-,,mode,,both,adult,minor worker,,,,,,,,,,
HumanObservation,Camponotus socius,foraging thermal limit,,-,,mode,,both,adult,minor worker,,,,,,,,,,
LivingSpecimen,Camponotus socius,lethal temperature,,-,,mode,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Cardiocondyla emeryi,Habitat index,Proportion of sampling units in which a species appeared in shrub habitats relative to all sampling units,0.62,,ratio,,both,adult,minor worker,,,,,,,,,,
PreservedSpecimen,Cardiocondyla emeryi,Mass,"Ants were dried in an oven at 60°C for 24 hours to determine dry mass, followed by weighing using a microbalance.",0.03,mg,mean,,both,adult,minor worker,,,,,,,,,,
