basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Ectatomma edentatum,Mesosomal or Weber’s length,,2.549,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,MandL,Length from the mandibular insertion to the most external point,0.909,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,Eye length,Measurement of eye width/length using a Zeiss Axio Zoom V16 microscope.,0.291,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,Scape length,Measurement of scape length using a Zeiss Axio Zoom V16 microscope.,1.481,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,Leg length,,4.075,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Strategy,,Solitary,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Discovery,Time elapsed from the start of the experiment (7:00 am) until the first ant began removing the artificial diaspore.,660,s,mean,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Distance,Distance from the sampling point to the nest,4.56,m,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Time r,Time taken for ants to transport artificial diaspores from the sampling point to the nest.,289,s,mean,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Diaspore removal,Artificial diaspore deposition and behavioral observation,1,"s, count",mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,Mesosomal or Weber’s length,,2.744,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,MandL,Length from the mandibular insertion to the most external point,0.941,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,Eye length,Measurement of eye width/length using a Zeiss Axio Zoom V16 microscope.,0.267,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,Scape length,Measurement of scape length using a Zeiss Axio Zoom V16 microscope.,1.579,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,Leg length,,4.023,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Strategy,,Solitary,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Discovery,Time elapsed from the start of the experiment (7:00 am) until the first ant began removing the artificial diaspore.,880,s,mean,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Distance,Distance from the sampling point to the nest,2.44,m,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Time r,Time taken for ants to transport artificial diaspores from the sampling point to the nest.,177,s,mean,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Diaspore removal,Artificial diaspore deposition and behavioral observation,15,"s, count",mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,Mesosomal or Weber’s length,,2.993,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,MandL,Length from the mandibular insertion to the most external point,1.268,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,Eye length,Measurement of eye width/length using a Zeiss Axio Zoom V16 microscope.,0.392,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,Scape length,Measurement of scape length using a Zeiss Axio Zoom V16 microscope.,1.515,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,Leg length,,4.700,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Strategy,,Solitary,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Discovery,Time elapsed from the start of the experiment (7:00 am) until the first ant began removing the artificial diaspore.,960,s,mean,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Distance,Distance from the sampling point to the nest,1.86,m,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Time r,Time taken for ants to transport artificial diaspores from the sampling point to the nest.,101,s,mean,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Diaspore removal,Artificial diaspore deposition and behavioral observation,35,"s, count",mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,Mesosomal or Weber’s length,,3.064,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,MandL,Length from the mandibular insertion to the most external point,1.311,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,Eye length,Measurement of eye width/length using a Zeiss Axio Zoom V16 microscope.,0.435,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,Scape length,Measurement of scape length using a Zeiss Axio Zoom V16 microscope.,1.578,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,Leg length,,3.995,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Strategy,,Solitary,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Discovery,Time elapsed from the start of the experiment (7:00 am) until the first ant began removing the artificial diaspore.,1320,s,mean,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Distance,Distance from the sampling point to the nest,1.08,m,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Time r,Time taken for ants to transport artificial diaspores from the sampling point to the nest.,65,s,mean,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma edentatum,Diaspore removal,Artificial diaspore deposition and behavioral observation,34,"s, count",mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ectatomma edentatum,Mesosomal or Weber’s length,,2.875,mm,mean,,both,adult,,,,,,,,,,,
