basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Abrostola asclepiadis Noctuidae,Status,,Previously unrecorded,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Abrostola asclepiadis Noctuidae,Classification of the degree of specialization Total,,6,score,mean,,both,adult,,,,,,,,,,,
HumanObservation,Abrostola asclepiadis Noctuidae,Food,,1,,mean,,both,adult,,,,,,,,,,,
Occurrence,Abrostola asclepiadis Noctuidae,North,"Geographical distance calculation (e.g., using GIS)",4,,mean,,both,adult,,,,,,,,,,,
Occurrence,Abrostola asclepiadis Noctuidae,Habitat,,1,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abrostola asclepiadis Noctuidae,Wingspan,,33.5,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abrostola triplasia Noctuidae,Status,,Persistent,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Abrostola triplasia Noctuidae,Classification of the degree of specialization Total,,8,score,mean,,both,adult,,,,,,,,,,,
HumanObservation,Abrostola triplasia Noctuidae,Food,,1,,mean,,both,adult,,,,,,,,,,,
Occurrence,Abrostola triplasia Noctuidae,North,"Geographical distance calculation (e.g., using GIS)",4,,mean,,both,adult,,,,,,,,,,,
Occurrence,Abrostola triplasia Noctuidae,Habitat,,3,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abrostola triplasia Noctuidae,Wingspan,,29.93,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acronicta aceris Noctuidae,Status,,Lost,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Acronicta aceris Noctuidae,Classification of the degree of specialization Total,,11,score,mean,,both,adult,,,,,,,,,,,
HumanObservation,Acronicta aceris Noctuidae,Food,,3,,mean,,both,adult,,,,,,,,,,,
Occurrence,Acronicta aceris Noctuidae,North,"Geographical distance calculation (e.g., using GIS)",4,,mean,,both,adult,,,,,,,,,,,
Occurrence,Acronicta aceris Noctuidae,Habitat,,4,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acronicta aceris Noctuidae,Wingspan,,39.69,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acronicta auricoma Noctuidae,Status,,Lost,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Acronicta auricoma Noctuidae,Classification of the degree of specialization Total,,12,score,mean,,both,adult,,,,,,,,,,,
HumanObservation,Acronicta auricoma Noctuidae,Food,,4,,mean,,both,adult,,,,,,,,,,,
Occurrence,Acronicta auricoma Noctuidae,North,"Geographical distance calculation (e.g., using GIS)",4,,mean,,both,adult,,,,,,,,,,,
Occurrence,Acronicta auricoma Noctuidae,Habitat,,4,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acronicta auricoma Noctuidae,Wingspan,,38.88,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acronicta rumicis Noctuidae,Status,,Persistent,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Acronicta rumicis Noctuidae,Classification of the degree of specialization Total,,12,score,mean,,both,adult,,,,,,,,,,,
HumanObservation,Acronicta rumicis Noctuidae,Food,,4,,mean,,both,adult,,,,,,,,,,,
Occurrence,Acronicta rumicis Noctuidae,North,"Geographical distance calculation (e.g., using GIS)",4,,mean,,both,adult,,,,,,,,,,,
