basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,"Acropyga yaeyamensis Terayama & Hashimoto, 1996",Eye diameter/mm,Standard linear measurement,0.01,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Acropyga yaeyamensis Terayama & Hashimoto, 1996",Distance between eyes/mm,Standard linear measurement of eye position,0.42,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Acropyga yaeyamensis Terayama & Hashimoto, 1996",Femur length/mm,Standard linear measurement of the femur length of the hind leg,0.26±0.01,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Acropyga yaeyamensis Terayama & Hashimoto, 1996",Weber's length/mm,Standard linear measurement of the morphological trait 'Weber's length' on individual ant specimens.,0.48,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Anochetus subcoecus Forel,1912",Eye diameter/mm,Standard linear measurement,0.04,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Anochetus subcoecus Forel,1912",Distance between eyes/mm,Standard linear measurement of eye position,0.70±0.02,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Anochetus subcoecus Forel,1912",Femur length/mm,Standard linear measurement of the femur length of the hind leg,0.67±0.01,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Anochetus subcoecus Forel,1912",Weber's length/mm,Standard linear measurement of the morphological trait 'Weber's length' on individual ant specimens.,1.08±0.01,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Aphaenogaster beccarii Emery, 1887",Eye diameter/mm,Standard linear measurement,0.23±0.03,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Aphaenogaster beccarii Emery, 1887",Distance between eyes/mm,Standard linear measurement of eye position,0.70±0.04,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Aphaenogaster beccarii Emery, 1887",Femur length/mm,Standard linear measurement of the femur length of the hind leg,2.18±0.13,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Aphaenogaster beccarii Emery, 1887",Weber's length/mm,Standard linear measurement of the morphological trait 'Weber's length' on individual ant specimens.,1.80±0.11,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Aphaenogaster feae Emery, 1889",Eye diameter/mm,Standard linear measurement,0.25,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Aphaenogaster feae Emery, 1889",Distance between eyes/mm,Standard linear measurement of eye position,0.72,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Aphaenogaster feae Emery, 1889",Femur length/mm,Standard linear measurement of the femur length of the hind leg,2.32,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Aphaenogaster feae Emery, 1889",Weber's length/mm,Standard linear measurement of the morphological trait 'Weber's length' on individual ant specimens.,2.03±0.01,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aphaenogaster schurri,Eye diameter/mm,Standard linear measurement,0.28±0.02,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aphaenogaster schurri,Distance between eyes/mm,Standard linear measurement of eye position,0.91±0.01,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aphaenogaster schurri,Femur length/mm,Standard linear measurement of the femur length of the hind leg,2.28±0.05,mm,mean,,both,adult,,,,,,,,,,,
