basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Dolichoderus sibiricus,at each site Site at 1000 m.a.s.l.,,45,count,count,,both,adult,,,,,,,,,,,
HumanObservation,Dolichoderus sibiricus,at each site Site at 1200 m.a.s.l.,,3,count,count,,both,adult,,,,,,,,,,,
PreservedSpecimen,Dolichoderus sibiricus,at each site Site at 1400 m.a.s.l.,,0,count,count,,both,adult,,,,,,,,,,,
PreservedSpecimen,Dolichoderus sibiricus,at each site Site at 1600 m.a.s.l.,,0,count,count,,both,adult,,,,,,,,,,,
PreservedSpecimen,Dolichoderus sibiricus,at each site Site at 1800 m.a.s.l.,,0,count,count,,both,adult,,,,,,,,,,,
PreservedSpecimen,Dolichoderus sibiricus,at each site Site at 2000 m.a.s.l.,,0,count,count,,both,adult,,,,,,,,,,,
PreservedSpecimen,Liometopum sinense,at each site Site at 1000 m.a.s.l.,,314,count,count,,both,adult,,,,,,,,,,,
HumanObservation,Liometopum sinense,at each site Site at 1200 m.a.s.l.,,0,count,count,,both,adult,,,,,,,,,,,
PreservedSpecimen,Liometopum sinense,at each site Site at 1400 m.a.s.l.,,0,count,count,,both,adult,,,,,,,,,,,
PreservedSpecimen,Liometopum sinense,at each site Site at 1600 m.a.s.l.,,0,count,count,,both,adult,,,,,,,,,,,
PreservedSpecimen,Liometopum sinense,at each site Site at 1800 m.a.s.l.,,0,count,count,,both,adult,,,,,,,,,,,
PreservedSpecimen,Liometopum sinense,at each site Site at 2000 m.a.s.l.,,0,count,count,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tapinoma geei,at each site Site at 1000 m.a.s.l.,,63,count,count,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma geei,at each site Site at 1200 m.a.s.l.,,32,count,count,,both,adult,,,,,,,,,,,
