paper,precision,recall,f1,status
AmbspergTraun1991,,,,skipped_resume
Araujo2021,,,,skipped_resume
Arnan2012,,,,skipped_resume
Attiwilli2022,,,,skipped_resume
Baine2024,,,,skipped_resume
Barber2017,,,,skipped_resume
Batista2024,,,,skipped_resume
Beyer2021,,,,skipped_resume
Boetzl2024,,,,skipped_resume
Borges2024,,,,skipped_resume
Brant2021,,,,skipped_resume
Braschler2021,,,,skipped_resume
Brasil2024,,,,skipped_resume
Cady1993,,,,skipped_resume
Cajaiba2022,,,,skipped_resume
Cajaiba2023,,,,skipped_resume
CamargoVanegas2024,,,,skipped_resume
Cao2024,,,,skipped_resume
Cappellari2022,,,,skipped_resume
Cawood2026,,,,skipped_resume
Cecala2021,,,,skipped_resume
Cerini2023,,,,skipped_resume
Chichorro2022,,,,skipped_resume
CortesGomez2023,,,,skipped_resume
Cortés-Goméz2023,,,,skipped_resume
DawesGromadzki2008,,,,skipped_resume
Dejean2019,,,,skipped_resume
Derhe2016,,,,skipped_resume
Eckert2023,,,,skipped_resume
Eskilden2015,,,,skipped_resume
Espinosa2023,,,,skipped_resume
Fiedler2021,,,,skipped_resume
Figueroa2021,,,,skipped_resume
Fondjo2024,,,,skipped_resume
Fontanilla2019,,,,skipped_resume
Forrest2015,,,,skipped_resume
Franzen2025,,,,skipped_resume
GarciaAtencia2024,,,,skipped_resume
Gathof2022,,,,skipped_resume
Geraghty2007,,,,skipped_resume
Gibb2005,,,,skipped_resume
GibbParr2013,,,,skipped_resume
Gomez2022,,,,skipped_resume
Gonzalez2016,,,,skipped_resume
Gossner2013,,,,skipped_resume
Graf2021,,,,skipped_resume
Guareschi2015,,,,skipped_resume
Guariento2020,,,,skipped_resume
Habustova2017,,,,skipped_resume
Harmon2013,,,,skipped_resume
Heiva2013,,,,skipped_resume
Hendriks2013,,,,skipped_resume
Hill2024,,,,skipped_resume
Ibarra2021,,,,skipped_resume
Ji2024,,,,skipped_resume
Jones2015,,,,skipped_resume
Keller1998,,,,skipped_resume
Khayati2024,,,,skipped_resume
Korosi2022,,,,skipped_resume
Kovacs2008,,,,skipped_resume
Kovacs2010,,,,skipped_resume
Kratschmer2019,,,,skipped_resume
Laha2020,,,,skipped_resume
Leong2023,,,,extracted_only
Lichtenberg2017,,,,skipped_resume
Lizee2016,,,,skipped_resume
Luo2023,,,,skipped_resume
MacDonald2021,,,,skipped_resume
McCravy2019,,,,skipped_resume
McCune2023,,,,skipped_resume
Melo2021,,,,skipped_resume
Mirzaee2023,,,,skipped_resume
Nelson2020,,,,skipped_resume
Nelson2021,,,,skipped_resume
Noriega2023,,,,skipped_resume
Normandin2017,,,,skipped_resume
Nunes2016,,,,skipped_resume
Odanaka2019,,,,skipped_resume
Oliveira2022,,,,skipped_resume
Orlofsk2014,,,,skipped_resume
Orr2024,,,,skipped_resume
OsorioCanadas2018,,,,skipped_resume
Penick2017,,,,skipped_resume
Pereira2016,,,,skipped_resume
Pessoa2017,,,,skipped_resume
Quicke2023,,,,skipped_resume
Raine2018,,,,skipped_resume
Rebrina2022,,,,skipped_resume
Renoz2020,,,,skipped_resume
Russo2017,,,,skipped_resume
Scalercio2020,,,,skipped_resume
Schirmel2012,,,,skipped_resume
Shi2022,,,,skipped_resume
Stemkovski2020,,,,skipped_resume
Sultaire2021,,,,skipped_resume
Taillefer2018,,,,skipped_resume
Teder2020,,,,skipped_resume
Tonelli2021,,,,skipped_resume
Torok2022,,,,extracted_only
Tran2022,,,,extracted_only
Tsai2020,,,,extracted_only
Uemori2021,,,,extracted_only
Uemori2022,,,,extracted_only
Ustjuzhanin2024,,,,extracted_only
Vidal2023,,,,extracted_only
Viza2023,,,,extracted_only
Wallon2024,,,,extracted_only
Wang2021,,,,extracted_only
Wang2021_1,,,,extracted_only
Weber2023,,,,extracted_only
Wiescher2012,,,,extracted_only
Wijas2021,,,,extracted_only
Wilker2022,,,,extracted_only
Wölfling2020,,,,extracted_only
Xia2022,,,,extracted_only
Xu2024,,,,extracted_only
Zhang2022,,,,extracted_only
Zhao2024,,,,extracted_only
